case_id,split,topic,relation,expected_status,expected_routing,claim,source_hint,template_type,allowed_for_threshold_tuning,eligible_for_holdout
DEV-CAP-01-01,development,geography,capital_of,SUPPORTS,stable_knowledge,Ottawa is the capital of Canada.,Wikidata P36,canonical_support,True,False
DEV-CAP-01-02,development,geography,capital_of,SUPPORTS,stable_knowledge,The capital city of Canada is Ottawa.,Wikidata P36,reverse_support,True,False
DEV-CAP-01-03,development,geography,capital_of,REFUTES,stable_knowledge,Ottawa is the capital of Australia.,Wikidata P36,wrong_object,True,False
DEV-CAP-01-04,development,geography,capital_of,REFUTES,stable_knowledge,Ottawa is not the capital of Canada.,Wikidata P36,negated_true_relation,True,False
DEV-CAP-02-01,development,geography,capital_of,SUPPORTS,stable_knowledge,Canberra is the capital of Australia.,Wikidata P36,canonical_support,True,False
DEV-CAP-02-02,development,geography,capital_of,SUPPORTS,stable_knowledge,The capital city of Australia is Canberra.,Wikidata P36,reverse_support,True,False
DEV-CAP-02-03,development,geography,capital_of,REFUTES,stable_knowledge,Canberra is the capital of Japan.,Wikidata P36,wrong_object,True,False
DEV-CAP-02-04,development,geography,capital_of,REFUTES,stable_knowledge,Canberra is not the capital of Australia.,Wikidata P36,negated_true_relation,True,False
DEV-CAP-03-01,development,geography,capital_of,SUPPORTS,stable_knowledge,Tokyo is the capital of Japan.,Wikidata P36,canonical_support,True,False
DEV-CAP-03-02,development,geography,capital_of,SUPPORTS,stable_knowledge,The capital city of Japan is Tokyo.,Wikidata P36,reverse_support,True,False
DEV-CAP-03-03,development,geography,capital_of,REFUTES,stable_knowledge,Tokyo is the capital of Brazil.,Wikidata P36,wrong_object,True,False
DEV-CAP-03-04,development,geography,capital_of,REFUTES,stable_knowledge,Tokyo is not the capital of Japan.,Wikidata P36,negated_true_relation,True,False
DEV-CAP-04-01,development,geography,capital_of,SUPPORTS,stable_knowledge,Brasilia is the capital of Brazil.,Wikidata P36,canonical_support,True,False
DEV-CAP-04-02,development,geography,capital_of,SUPPORTS,stable_knowledge,The capital city of Brazil is Brasilia.,Wikidata P36,reverse_support,True,False
DEV-CAP-04-03,development,geography,capital_of,REFUTES,stable_knowledge,Brasilia is the capital of Kenya.,Wikidata P36,wrong_object,True,False
