record_id,group,text,expected_category,existing_category,existing_action,existing_review
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-001,reordered_ransomware_and_wiper_actions,A hostile account installs ransomware on unrelated endpoints; RC2 development 1.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-002,reordered_ransomware_and_wiper_actions,The operator deployed a destructive wiper to unrelated systems; RC2 development 2.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-003,reordered_ransomware_and_wiper_actions,An untrusted post uploads malware for use on victim devices; RC2 development 3.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-004,reordered_ransomware_and_wiper_actions,The campaign hosted a computer virus for download by targets; RC2 development 4.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-005,reordered_ransomware_and_wiper_actions,A hostile account installs ransomware on unrelated endpoints; RC2 development 5.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-006,reordered_ransomware_and_wiper_actions,The operator deployed a destructive wiper to unrelated systems; RC2 development 6.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-007,reordered_ransomware_and_wiper_actions,An untrusted post uploads malware for use on victim devices; RC2 development 7.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-008,reordered_ransomware_and_wiper_actions,The campaign hosted a computer virus for download by targets; RC2 development 8.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-009,reordered_ransomware_and_wiper_actions,A hostile account installs ransomware on unrelated endpoints; RC2 development 9.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-010,reordered_ransomware_and_wiper_actions,The operator deployed a destructive wiper to unrelated systems; RC2 development 10.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-011,reordered_ransomware_and_wiper_actions,An untrusted post uploads malware for use on victim devices; RC2 development 11.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-012,reordered_ransomware_and_wiper_actions,The campaign hosted a computer virus for download by targets; RC2 development 12.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-013,reordered_ransomware_and_wiper_actions,A hostile account installs ransomware on unrelated endpoints; RC2 development 13.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-014,reordered_ransomware_and_wiper_actions,The operator deployed a destructive wiper to unrelated systems; RC2 development 14.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-015,reordered_ransomware_and_wiper_actions,An untrusted post uploads malware for use on victim devices; RC2 development 15.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-016,reordered_ransomware_and_wiper_actions,The campaign hosted a computer virus for download by targets; RC2 development 16.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-017,reordered_ransomware_and_wiper_actions,A hostile account installs ransomware on unrelated endpoints; RC2 development 17.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-018,reordered_ransomware_and_wiper_actions,The operator deployed a destructive wiper to unrelated systems; RC2 development 18.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-019,reordered_ransomware_and_wiper_actions,An untrusted post uploads malware for use on victim devices; RC2 development 19.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-020,reordered_ransomware_and_wiper_actions,The campaign hosted a computer virus for download by targets; RC2 development 20.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-021,reordered_ransomware_and_wiper_actions,A hostile account installs ransomware on unrelated endpoints; RC2 development 21.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-022,reordered_ransomware_and_wiper_actions,The operator deployed a destructive wiper to unrelated systems; RC2 development 22.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-023,reordered_ransomware_and_wiper_actions,An untrusted post uploads malware for use on victim devices; RC2 development 23.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-024,reordered_ransomware_and_wiper_actions,The campaign hosted a computer virus for download by targets; RC2 development 24.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-025,reordered_ransomware_and_wiper_actions,A hostile account installs ransomware on unrelated endpoints; RC2 development 25.,Malicious Programs,Normal/Ignore,Allow,False
