record_id,split,family_id,label,existing_category,text,text_sha256,source
TRAIN-0001,train,dangerous_advocacy:height_edge,dangerous_advocacy,Normal/Ignore,The post urges an untrained viewer to imitate an unsafe challenge near an exposed height and presents it as entertainment.,1742e97feb638de1fc79191e492671d1b2f4faa8929ab0d10a7efbe9d01dd6ac,paired_synthetic_policy_concept
TRAIN-0002,train,dangerous_advocacy:height_edge,dangerous_advocacy,Normal/Ignore,A creator encourages the audience to try an unsafe challenge near an exposed height without professional supervision.,f114dfb78d16d91425e2b08f57044184a1f92b16dccb5f80ec5863058187b43e,paired_synthetic_policy_concept
TRAIN-0003,train,dangerous_advocacy:height_edge,dangerous_advocacy,Normal/Ignore,The message dares an amateur to attempt an unsafe challenge near an exposed height despite the obvious physical risk.,b4c62baf6b43c988ce8e5a8420b95ebcb4875161430749733c90e2f993931331,paired_synthetic_policy_concept
TRAIN-0004,train,dangerous_advocacy:height_edge,dangerous_advocacy,Normal/Ignore,This upload celebrates an unsafe challenge near an exposed height and asks viewers to copy the act.,204b729c7079e39ddeaaa7c6ef6f0ebf30511e858e88d46a5a9c5f7758c71f88,paired_synthetic_policy_concept
TRAIN-0005,train,dangerous_advocacy:height_edge,dangerous_advocacy,Normal/Ignore,The central instruction promotes an unsafe challenge near an exposed height while dismissing normal safety controls.,dc11f224b5eacce20cb5fadc20d17cca8673854d3ff571577f9dc45f3cb4141d,paired_synthetic_policy_concept
TRAIN-0006,train,dangerous_advocacy:height_edge,dangerous_advocacy,Normal/Ignore,The speaker treats an unsafe challenge near an exposed height as a challenge that ordinary people should repeat.,a691e505e0fb2de3c59826b3bce4eef277e8781733baa0c3125d1534dd059b39,paired_synthetic_policy_concept
TRAIN-0007,train,safe_warning:height_edge,safe_warning,Normal/Ignore,A safety notice discusses an unsafe challenge near an exposed height only to warn people not to imitate it.,5f96aac5be35f6fdf6bee24162821586d3950c5109709647045edc990976c95e,paired_synthetic_policy_concept
TRAIN-0008,train,safe_warning:height_edge,safe_warning,Normal/Ignore,The report condemns an unsafe challenge near an exposed height and asks viewers to avoid repeating the act.,2b0e139579e10bd92d69f5ba3306c43804852887eb89aa10e7054287ea6f0de6,paired_synthetic_policy_concept
TRAIN-0009,train,safe_warning:height_edge,safe_warning,Normal/Ignore,This prevention lesson explains the risk of an unsafe challenge near an exposed height without encouraging participation.,ae5d4e394d7179c092dcbbd628f409d2bb98be16e14f37394d8a5ea611458473,paired_synthetic_policy_concept
TRAIN-0010,train,safe_warning:height_edge,safe_warning,Normal/Ignore,The speaker warns that an unsafe challenge near an exposed height can cause serious injury and should never be attempted.,9e32597748edba339188cd896bf287dffbf8024ade55b5be7921972f291f94d4,paired_synthetic_policy_concept
TRAIN-0011,train,safe_warning:height_edge,safe_warning,Normal/Ignore,A public safety campaign discourages an unsafe challenge near an exposed height and promotes protective behavior.,0d3f6ebcdc5c147603a40f8a7cec294dda6d30c1381b574dae0ecb42e57f2382,paired_synthetic_policy_concept
TRAIN-0012,train,safe_warning:height_edge,safe_warning,Normal/Ignore,The article reports an unsafe challenge near an exposed height while clearly telling the audience not to copy it.,72f6b58c7a711af3d878b545050e7cc81d35fba6ea0baf2ccb26e4fdcb7d73ae,paired_synthetic_policy_concept
TRAIN-0013,train,professional_controlled:height_edge,professional_controlled,Normal/Ignore,A qualified team studies an unsafe challenge near an exposed height inside a controlled setting with protective procedures.,d427ba495d9d6885d5c0eb3e1904b0e3c387e2139004e51aafe5dc96eb5f7294,paired_synthetic_policy_concept
TRAIN-0014,train,professional_controlled:height_edge,professional_controlled,Normal/Ignore,Certified professionals demonstrate risk controls related to an unsafe challenge near an exposed height at an authorized facility.,c7c4246f0f0bc03bcfdd0090fe814336a3860938fea169f71afd55ef0787852e,paired_synthetic_policy_concept
TRAIN-0015,train,professional_controlled:height_edge,professional_controlled,Normal/Ignore,The educational material discusses an unsafe challenge near an exposed height under trained supervision and prohibits imitation.,d073b825f1e7e9e75d763eee74e4a6369811e08dd300e6684919a8f2ba699dea,paired_synthetic_policy_concept
TRAIN-0016,train,professional_controlled:height_edge,professional_controlled,Normal/Ignore,A controlled test examines an unsafe challenge near an exposed height behind protective barriers with emergency staff present.,b5aa6af956f8bdb479fff3dba7e00385f0a82915623ef8ddaa1ef0f56ba6d3e6,paired_synthetic_policy_concept
TRAIN-0017,train,professional_controlled:height_edge,professional_controlled,Normal/Ignore,Licensed operators address an unsafe challenge near an exposed height during formal safety training at a restricted site.,fa5cdc18bb4bc0a0052c98fc84db75e23d8c4570677262a24bf55d3dc21ddbbd,paired_synthetic_policy_concept
TRAIN-0018,train,professional_controlled:height_edge,professional_controlled,Normal/Ignore,The documentary shows professionals managing an unsafe challenge near an exposed height with permits and exclusion controls.,dc8fca4031010cbd4d4ef051b90e11db78cf23f7bb9df297ac014ece672980e4,paired_synthetic_policy_concept
TRAIN-0019,train,dangerous_advocacy:moving_vehicle,dangerous_advocacy,Normal/Ignore,The post urges an untrained viewer to imitate interference with a moving vehicle and presents it as entertainment.,a50b3f8eae9e6740777d31480e1cd0dda1aeedee094f9fe1e1341a0c3d16ac0a,paired_synthetic_policy_concept
TRAIN-0020,train,dangerous_advocacy:moving_vehicle,dangerous_advocacy,Normal/Ignore,A creator encourages the audience to try interference with a moving vehicle without professional supervision.,ef594eb3e20a65d8b8276c53c33f21164f7b70381073f9282abf6b60a8aa2e34,paired_synthetic_policy_concept
TRAIN-0021,train,dangerous_advocacy:moving_vehicle,dangerous_advocacy,Normal/Ignore,The message dares an amateur to attempt interference with a moving vehicle despite the obvious physical risk.,ed74a9a33e854b4fe87c5e2ee433eb1c2c1f95317cf7337e9f7f4d3180d4dc06,paired_synthetic_policy_concept
TRAIN-0022,train,dangerous_advocacy:moving_vehicle,dangerous_advocacy,Normal/Ignore,This upload celebrates interference with a moving vehicle and asks viewers to copy the act.,e0cf4be64b2d6a66eff4240cbdb56d5ef933ee9525e433894dc307bc029b9cb8,paired_synthetic_policy_concept
TRAIN-0023,train,dangerous_advocacy:moving_vehicle,dangerous_advocacy,Normal/Ignore,The central instruction promotes interference with a moving vehicle while dismissing normal safety controls.,1af5ee96f7a87b2b6588ca350f41ec6ef9063529c80bd14335fb6a3ef91e89f5,paired_synthetic_policy_concept
