record_id,split,family_id,semantic_class,expected_category,expected_action,human_review_required,text
VC3-0124b2691639,train,graphic_train_depiction,graphic_violence,Violent Content,Refer to human review,True,The video contains a close view of exposed internal organs.
VC3-0305237d7e98,train,graphic_train_depiction,graphic_violence,Violent Content,Refer to human review,True,The camera records exposed internal organs without censorship.
VC3-04c27ed74be4,train,graphic_train_depiction,graphic_violence,Violent Content,Refer to human review,True,The scene graphically depicts a victim undergoing torture.
VC3-050b6d35cea4,train,graphic_train_depiction,graphic_violence,Violent Content,Refer to human review,True,The video contains a close view of a victim undergoing torture.
VC3-060834a8f469,validation,threat_validation_intimidation,targeted_threat,Cyberbullying & Harassment,Refer to human review,True,This is your warning: I intend to harm your brother tomorrow.
VC3-06afd0b44e86,train,threat_train_direct,targeted_threat,Cyberbullying & Harassment,Refer to human review,True,I swear that I will beat you in the parking area.
VC3-099ef9cf7375,train,safe_train_boundary,safe_or_other,Normal/Ignore,Allow,False,the photographer shot a wedding portrait.
VC3-09bc802e12cd,train,context_train_reporting,allowed_context,Violent Content,Allow with sensitive-content warning,False,An educational lesson examines violence-prevention procedures with a content warning.
VC3-0c35f79feb7e,validation,context_validation_education,allowed_context,Violent Content,Allow with sensitive-content warning,False,"A museum presentation covers peacekeeping work following violent civil unrest, but no graphic detail is visible."
VC3-0d3e0fea6425,train,graphic_train_depiction,graphic_violence,Violent Content,Refer to human review,True,The scene graphically depicts a severed limb beside the victim.
VC3-1072027e5889,validation,threat_validation_intimidation,targeted_threat,Cyberbullying & Harassment,Refer to human review,True,This is your warning: I intend to set fire to your room while you sleep.
VC3-10736ed282e0,validation,safe_validation_boundary,safe_or_other,Normal/Ignore,Allow,False,"According to the summary, the editor cut a paragraph from the article."
VC3-11b6dfaa68fb,validation,graphic_validation_visibility,graphic_violence,Violent Content,Refer to human review,True,Viewers can clearly see a deep open wound with exposed bone in the footage.
VC3-133fb60b53f5,train,threat_train_direct,targeted_threat,Cyberbullying & Harassment,Refer to human review,True,I will burn your home while you are inside.
VC3-1520a9635559,train,graphic_train_depiction,graphic_violence,Violent Content,Refer to human review,True,The camera records a victim undergoing torture without censorship.
VC3-175beeef24d3,train,threat_train_direct,targeted_threat,Cyberbullying & Harassment,Refer to human review,True,I swear that I will shoot you if you return.
VC3-18ac71d1760b,train,threat_train_direct,targeted_threat,Cyberbullying & Harassment,Refer to human review,True,Meet me there and I will burn your home while you are inside.
VC3-1c5a21bedcb9,train,graphic_train_depiction,graphic_violence,Violent Content,Refer to human review,True,The video contains a close view of a severed limb beside the victim.
VC3-1cd28e659935,validation,graphic_validation_visibility,graphic_violence,Violent Content,Refer to human review,True,An uncensored frame presents a detached hand lying beside a body.
VC3-1f2ceb1dacf4,validation,threat_validation_intimidation,targeted_threat,Cyberbullying & Harassment,Refer to human review,True,This is your warning: I intend to break your legs after the meeting.
VC3-2048d9ee79b4,train,graphic_train_depiction,graphic_violence,Violent Content,Refer to human review,True,The uploaded image visibly shows a crushed skull with visible injuries.
VC3-21049a876d88,train,safe_train_boundary,safe_or_other,Normal/Ignore,Allow,False,"Yesterday, the striker took a shot at goal."
VC3-235139420b96,train,context_train_reporting,allowed_context,Violent Content,Allow with sensitive-content warning,False,The article describes a censored injury in a factual and non-graphic way.
VC3-2493fcdba199,validation,context_validation_education,allowed_context,Violent Content,Allow with sensitive-content warning,False,"A museum presentation covers a censored reconstruction of a murder investigation, but no graphic detail is visible."
VC3-2829614820fa,train,graphic_train_depiction,graphic_violence,Violent Content,Refer to human review,True,The camera records charred human remains without censorship.
VC3-286421d6cad1,train,threat_train_direct,targeted_threat,Cyberbullying & Harassment,Refer to human review,True,Watch your back because I am going to hurt you after work.
VC3-2b1c38f1db19,validation,threat_validation_intimidation,targeted_threat,Cyberbullying & Harassment,Refer to human review,True,You cannot hide; I plan to make you suffer for refusing.
VC3-2d82dda103ce,validation,context_validation_education,allowed_context,Violent Content,Allow with sensitive-content warning,False,"A museum presentation covers public-health measures for preventing violent injury, but no graphic detail is visible."
VC3-3028b08444e2,validation,context_validation_education,allowed_context,Violent Content,Allow with sensitive-content warning,False,"A museum presentation covers training about responding to armed violence, but no graphic detail is visible."
VC3-302f81daef40,train,safe_train_boundary,safe_or_other,Normal/Ignore,Allow,False,the pesticide kills weeds.
VC3-318bc2e9dfdc,train,graphic_train_depiction,graphic_violence,Violent Content,Refer to human review,True,The uploaded image visibly shows a decapitated body.
VC3-3563eb83cdc4,train,context_train_reporting,allowed_context,Violent Content,Allow with sensitive-content warning,False,An educational lesson examines a fictional fight scene with a content warning.
VC3-357fcd36914a,train,safe_train_boundary,safe_or_other,Normal/Ignore,Allow,False,People observed that the students studied a diagram of organs.
VC3-35a50e7e213d,validation,safe_validation_boundary,safe_or_other,Normal/Ignore,Allow,False,"According to the summary, the coach reviewed a contact-free practice drill."
VC3-36706d4e0e96,train,graphic_train_depiction,graphic_violence,Violent Content,Refer to human review,True,The scene graphically depicts a crushed skull with visible injuries.
VC3-37750d61367a,validation,threat_validation_intimidation,targeted_threat,Cyberbullying & Harassment,Refer to human review,True,You cannot hide; I plan to crush your jaw near the station.
VC3-39220d966486,train,threat_train_direct,targeted_threat,Cyberbullying & Harassment,Refer to human review,True,I will beat you in the parking area.
VC3-3a80043366c2,train,threat_train_direct,targeted_threat,Cyberbullying & Harassment,Refer to human review,True,Watch your back because I am going to shoot you if you return.
VC3-3ea8778fc752,train,threat_train_direct,targeted_threat,Cyberbullying & Harassment,Refer to human review,True,I swear that I will smash your face outside.
VC3-40b02c858eae,validation,safe_validation_boundary,safe_or_other,Normal/Ignore,Allow,False,"During the day, the camera captured a family celebration."
VC3-40c1132d812a,train,safe_train_boundary,safe_or_other,Normal/Ignore,Allow,False,The report notes that the team destroyed the competition in sales.
VC3-41897a9c289b,train,safe_train_boundary,safe_or_other,Normal/Ignore,Allow,False,People observed that the software terminated a frozen process.
VC3-421013e99480,train,context_train_reporting,allowed_context,Violent Content,Allow with sensitive-content warning,False,A documentary explains a criminal investigation using blurred archival material.
VC3-42242dba530c,train,context_train_reporting,allowed_context,Violent Content,Allow with sensitive-content warning,False,An educational lesson examines a censored injury with a content warning.
VC3-4289b903535b,train,context_train_reporting,allowed_context,Violent Content,Allow with sensitive-content warning,False,A documentary explains the effects of war using blurred archival material.
VC3-4361506c6c57,train,graphic_train_depiction,graphic_violence,Violent Content,Refer to human review,True,The video contains a close view of a dismembered body.
VC3-443774b4315c,validation,threat_validation_intimidation,targeted_threat,Cyberbullying & Harassment,Refer to human review,True,You cannot hide; I plan to set fire to your room while you sleep.
VC3-44a46579daf9,train,context_train_reporting,allowed_context,Violent Content,Allow with sensitive-content warning,False,An educational lesson examines the aftermath of an armed conflict with a content warning.
