group,text,expected,owner,action,review
general_entity_deception_and_misuse,This caller is pretending to be official support and requested account access from a customer; RC4 development 1.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,The account is posing as a business representative and sends messages to a resident; RC4 development 2.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,This profile impersonates a government office and collects payments from a visitor; RC4 development 3.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,Evidence indicates the message falsely represents a company and requests credentials from a seller; RC4 development 4.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,This caller is pretending to be official support and requested account access from a customer; RC4 development 5.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,The account is posing as a business representative and sends messages to a resident; RC4 development 6.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,This profile impersonates a government office and collects payments from a visitor; RC4 development 7.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,Evidence indicates the message falsely represents a company and requests credentials from a seller; RC4 development 8.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,This caller is pretending to be official support and requested account access from a customer; RC4 development 9.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,The account is posing as a business representative and sends messages to a resident; RC4 development 10.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,This profile impersonates a government office and collects payments from a visitor; RC4 development 11.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,Evidence indicates the message falsely represents a company and requests credentials from a seller; RC4 development 12.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,This caller is pretending to be official support and requested account access from a customer; RC4 development 13.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,The account is posing as a business representative and sends messages to a resident; RC4 development 14.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,This profile impersonates a government office and collects payments from a visitor; RC4 development 15.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,Evidence indicates the message falsely represents a company and requests credentials from a seller; RC4 development 16.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,This caller is pretending to be official support and requested account access from a customer; RC4 development 17.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,The account is posing as a business representative and sends messages to a resident; RC4 development 18.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,This profile impersonates a government office and collects payments from a visitor; RC4 development 19.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,Evidence indicates the message falsely represents a company and requests credentials from a seller; RC4 development 20.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,This caller is pretending to be official support and requested account access from a customer; RC4 development 21.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,The account is posing as a business representative and sends messages to a resident; RC4 development 22.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,This profile impersonates a government office and collects payments from a visitor; RC4 development 23.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,Evidence indicates the message falsely represents a company and requests credentials from a seller; RC4 development 24.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,This caller is pretending to be official support and requested account access from a customer; RC4 development 25.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,The account is posing as a business representative and sends messages to a resident; RC4 development 26.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,This profile impersonates a government office and collects payments from a visitor; RC4 development 27.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,Evidence indicates the message falsely represents a company and requests credentials from a seller; RC4 development 28.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,This caller is pretending to be official support and requested account access from a customer; RC4 development 29.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,The account is posing as a business representative and sends messages to a resident; RC4 development 30.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,This profile impersonates a government office and collects payments from a visitor; RC4 development 31.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,Evidence indicates the message falsely represents a company and requests credentials from a seller; RC4 development 32.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,This caller is pretending to be official support and requested account access from a customer; RC4 development 33.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,The account is posing as a business representative and sends messages to a resident; RC4 development 34.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,This profile impersonates a government office and collects payments from a visitor; RC4 development 35.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
general_entity_deception_and_misuse,Evidence indicates the message falsely represents a company and requests credentials from a seller; RC4 development 36.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
