case_id,group,expected,text
TERROR-RC3-DEV-001,claimed_designation_any_word_order,Terrorism & Extremism,A designated terrorist organization encourages registration by new members.
TERROR-RC3-DEV-002,claimed_designation_any_word_order,Terrorism & Extremism,A group banned as extremist collects financial contributions.
TERROR-RC3-DEV-003,claimed_designation_any_word_order,Terrorism & Extremism,A network has been listed as a terrorist organization and forwards recruitment posts.
TERROR-RC3-DEV-004,claimed_designation_any_word_order,Terrorism & Extremism,A proscribed extremist movement provides transport and safe houses.
TERROR-RC3-DEV-005,claimed_designation_any_word_order,Terrorism & Extremism,An outfit sanctioned as terrorist circulates propaganda material.
TERROR-RC3-DEV-006,claimed_designation_any_word_order,Terrorism & Extremism,A terrorist faction was officially designated and opens an enlistment drive.
TERROR-RC3-DEV-007,claimed_designation_any_word_order,Terrorism & Extremism,The organization is designated terrorist and solicits payments.
TERROR-RC3-DEV-008,claimed_designation_any_word_order,Terrorism & Extremism,The movement remains listed as extremist and invites people to register.
TERROR-RC3-DEV-009,claimed_designation_any_word_order,Terrorism & Extremism,A banned terrorist cell arranges logistical support.
TERROR-RC3-DEV-010,claimed_designation_any_word_order,Terrorism & Extremism,A network proscribed for extremism praises its fighters and recruits members.
TERROR-RC3-DEV-011,claimed_designation_any_word_order,Terrorism & Extremism,A designated terrorist organization encourages registration by new members.
TERROR-RC3-DEV-012,claimed_designation_any_word_order,Terrorism & Extremism,A group banned as extremist collects financial contributions.
TERROR-RC3-DEV-013,claimed_designation_any_word_order,Terrorism & Extremism,A network has been listed as a terrorist organization and forwards recruitment posts.
TERROR-RC3-DEV-014,claimed_designation_any_word_order,Terrorism & Extremism,A proscribed extremist movement provides transport and safe houses.
TERROR-RC3-DEV-015,claimed_designation_any_word_order,Terrorism & Extremism,An outfit sanctioned as terrorist circulates propaganda material.
TERROR-RC3-DEV-016,claimed_designation_any_word_order,Terrorism & Extremism,A terrorist faction was officially designated and opens an enlistment drive.
TERROR-RC3-DEV-017,claimed_designation_any_word_order,Terrorism & Extremism,The organization is designated terrorist and solicits payments.
TERROR-RC3-DEV-018,claimed_designation_any_word_order,Terrorism & Extremism,The movement remains listed as extremist and invites people to register.
TERROR-RC3-DEV-019,claimed_designation_any_word_order,Terrorism & Extremism,A banned terrorist cell arranges logistical support.
TERROR-RC3-DEV-020,claimed_designation_any_word_order,Terrorism & Extremism,A network proscribed for extremism praises its fighters and recruits members.
TERROR-RC3-DEV-021,claimed_designation_any_word_order,Terrorism & Extremism,A designated terrorist organization encourages registration by new members.
TERROR-RC3-DEV-022,claimed_designation_any_word_order,Terrorism & Extremism,A group banned as extremist collects financial contributions.
TERROR-RC3-DEV-023,claimed_designation_any_word_order,Terrorism & Extremism,A network has been listed as a terrorist organization and forwards recruitment posts.
TERROR-RC3-DEV-024,claimed_designation_any_word_order,Terrorism & Extremism,A proscribed extremist movement provides transport and safe houses.
TERROR-RC3-DEV-025,claimed_designation_any_word_order,Terrorism & Extremism,An outfit sanctioned as terrorist circulates propaganda material.
TERROR-RC3-DEV-026,claimed_designation_any_word_order,Terrorism & Extremism,A terrorist faction was officially designated and opens an enlistment drive.
TERROR-RC3-DEV-027,claimed_designation_any_word_order,Terrorism & Extremism,The organization is designated terrorist and solicits payments.
TERROR-RC3-DEV-028,claimed_designation_any_word_order,Terrorism & Extremism,The movement remains listed as extremist and invites people to register.
TERROR-RC3-DEV-029,claimed_designation_any_word_order,Terrorism & Extremism,A banned terrorist cell arranges logistical support.
TERROR-RC3-DEV-030,claimed_designation_any_word_order,Terrorism & Extremism,A network proscribed for extremism praises its fighters and recruits members.
TERROR-RC3-DEV-031,claimed_designation_any_word_order,Terrorism & Extremism,A designated terrorist organization encourages registration by new members.
TERROR-RC3-DEV-032,claimed_designation_any_word_order,Terrorism & Extremism,A group banned as extremist collects financial contributions.
TERROR-RC3-DEV-033,claimed_designation_any_word_order,Terrorism & Extremism,A network has been listed as a terrorist organization and forwards recruitment posts.
