id,content_type,file_name,duration_seconds,transcript,frame_descriptions,ocr_text,audio_description,category,severity,action,human_review_required,grey_case,reason,policy_version
VID-0001,video,sample_video_0001.mp4,10,A post tells users to burn another community's religious book.,Sampled frames contain a safe synthetic description associated with the Religiously Offensive Content policy category.,,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Religiously Offensive Content,High,Flag and send for human review,True,True,"The content contains indicators of Religiously Offensive Content, but the final enforcement decision requires human review.",2026.08
VID-0002,video,sample_video_0002.mp4,17,A post says that a protected group is inferior.,Sampled frames contain a safe synthetic description associated with the Hate Speech & Discrimination policy category.,A post says that a protected group is inferior.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
VID-0003,video,sample_video_0003.mp4,24,A post praises a banned terrorist organization and asks users to join.,Sampled frames contain a safe synthetic description associated with the Terrorism & Extremism policy category.,A post praises a banned terrorist organization and asks users to join.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
VID-0004,video,sample_video_0004.mp4,31,A person sends the direct threat: I will kill you tonight.,Sampled frames contain a safe synthetic description associated with the Violent Content policy category.,,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
VID-0005,video,sample_video_0005.mp4,38,The video tells viewers to try a dangerous stunt without safety equipment.,Sampled frames contain a safe synthetic description associated with the Dangerous Content policy category.,The video tells viewers to try a dangerous stunt without safety equipment.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
VID-0006,video,sample_video_0006.mp4,45,The content contains explicit adult sexual imagery.,"Sampled frames contain a safe synthetic description associated with the Graphic, Obscene & Sexual Content policy category.",The content contains explicit adult sexual imagery.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
VID-0007,video,sample_video_0007.mp4,52,A user repeatedly demands that another person send nude pictures.,Sampled frames contain a safe synthetic description associated with the Sexual Harassment policy category.,,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
VID-0008,video,sample_video_0008.mp4,59,A user repeatedly tells another person that they are worthless.,Sampled frames contain a safe synthetic description associated with the Cyberbullying & Harassment policy category.,A user repeatedly tells another person that they are worthless.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
VID-0009,video,sample_video_0009.mp4,66,A private video was secretly recorded and shared without consent.,Sampled frames contain a safe synthetic description associated with the Invasion of Privacy policy category.,A private video was secretly recorded and shared without consent.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
VID-0010,video,sample_video_0010.mp4,73,A post offers illegal drugs for sale.,Sampled frames contain a safe synthetic description associated with the Illegal Activities policy category.,,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
VID-0011,video,sample_video_0011.mp4,80,A post exposes another person's Aadhaar card number without permission.,Sampled frames contain a safe synthetic description associated with the Publishing Private Information policy category.,A post exposes another person's Aadhaar card number without permission.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
VID-0012,video,sample_video_0012.mp4,87,An account impersonates a bank representative to deceive customers.,Sampled frames contain a safe synthetic description associated with the Identity Theft & Impersonation policy category.,An account impersonates a bank representative to deceive customers.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
VID-0013,video,sample_video_0013.mp4,94,A fabricated report presents a made-up public event as fact.,Sampled frames contain a safe synthetic description associated with the Misinformation & Fake News policy category.,,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
VID-0014,video,sample_video_0014.mp4,101,URGENT! Claim your prize now by sending your OTP on WhatsApp.,"Sampled frames contain a safe synthetic description associated with the Spam, Scam & Phishing policy category.",URGENT! Claim your prize now by sending your OTP on WhatsApp.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
VID-0015,video,sample_video_0015.mp4,108,A post distributes a pirated movie download without authorization.,Sampled frames contain a safe synthetic description associated with the Intellectual Property Infringement policy category.,A post distributes a pirated movie download without authorization.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
VID-0016,video,sample_video_0016.mp4,115,A post provides a link to download credential-stealing malware.,Sampled frames contain a safe synthetic description associated with the Malicious Programs policy category.,,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
VID-0017,video,sample_video_0017.mp4,122,A user directly tells another person: you are a disgusting idiot.,Sampled frames contain a safe synthetic description associated with the Abusive Words policy category.,A user directly tells another person: you are a disgusting idiot.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
VID-0018,video,sample_video_0018.mp4,129,An adult asks a minor to keep their private conversation secret.,Sampled frames contain a safe synthetic description associated with the Child Exploitation policy category.,An adult asks a minor to keep their private conversation secret.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Child Exploitation,Critical,Flag and send for human review,True,True,"The content contains indicators of Child Exploitation, but the final enforcement decision requires human review.",2026.08
