record_id,group,text,expected_category
CONTROLLED_GOODS_AND_MEDICINES-001,controlled_goods_and_medicines,illegal drugs are for sale. Contact me to order now. Reference 1.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-002,controlled_goods_and_medicines,controlled pills are for sale. Contact me to order now. Reference 2.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-003,controlled_goods_and_medicines,unapproved medicine are for sale. Contact me to order now. Reference 3.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-004,controlled_goods_and_medicines,psychotropic substances are for sale. Contact me to order now. Reference 4.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-005,controlled_goods_and_medicines,illegal narcotics are for sale. Contact me to order now. Reference 5.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-006,controlled_goods_and_medicines,This listing offers illegal drugs. Delivery available; buy now. Reference 6.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-007,controlled_goods_and_medicines,This listing offers controlled pills. Delivery available; buy now. Reference 7.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-008,controlled_goods_and_medicines,This listing offers unapproved medicine. Delivery available; buy now. Reference 8.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-009,controlled_goods_and_medicines,This listing offers psychotropic substances. Delivery available; buy now. Reference 9.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-010,controlled_goods_and_medicines,This listing offers illegal narcotics. Delivery available; buy now. Reference 10.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-011,controlled_goods_and_medicines,The seller advertises illegal drugs. Message me to order. Reference 11.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-012,controlled_goods_and_medicines,The seller advertises controlled pills. Message me to order. Reference 12.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-013,controlled_goods_and_medicines,The seller advertises unapproved medicine. Message me to order. Reference 13.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-014,controlled_goods_and_medicines,The seller advertises psychotropic substances. Message me to order. Reference 14.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-015,controlled_goods_and_medicines,The seller advertises illegal narcotics. Message me to order. Reference 15.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-016,controlled_goods_and_medicines,A commercial post says illegal drugs are for sale and asks buyers to contact me. Reference 16.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-017,controlled_goods_and_medicines,A commercial post says controlled pills are for sale and asks buyers to contact me. Reference 17.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-018,controlled_goods_and_medicines,A commercial post says unapproved medicine are for sale and asks buyers to contact me. Reference 18.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-019,controlled_goods_and_medicines,A commercial post says psychotropic substances are for sale and asks buyers to contact me. Reference 19.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-020,controlled_goods_and_medicines,A commercial post says illegal narcotics are for sale and asks buyers to contact me. Reference 20.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-021,controlled_goods_and_medicines,illegal drugs are for sale. Contact me to order now. Reference 21.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-022,controlled_goods_and_medicines,controlled pills are for sale. Contact me to order now. Reference 22.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-023,controlled_goods_and_medicines,unapproved medicine are for sale. Contact me to order now. Reference 23.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-024,controlled_goods_and_medicines,psychotropic substances are for sale. Contact me to order now. Reference 24.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-025,controlled_goods_and_medicines,illegal narcotics are for sale. Contact me to order now. Reference 25.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-026,controlled_goods_and_medicines,This listing offers illegal drugs. Delivery available; buy now. Reference 26.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-027,controlled_goods_and_medicines,This listing offers controlled pills. Delivery available; buy now. Reference 27.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-028,controlled_goods_and_medicines,This listing offers unapproved medicine. Delivery available; buy now. Reference 28.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-029,controlled_goods_and_medicines,This listing offers psychotropic substances. Delivery available; buy now. Reference 29.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-030,controlled_goods_and_medicines,This listing offers illegal narcotics. Delivery available; buy now. Reference 30.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-031,controlled_goods_and_medicines,The seller advertises illegal drugs. Message me to order. Reference 31.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-032,controlled_goods_and_medicines,The seller advertises controlled pills. Message me to order. Reference 32.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-033,controlled_goods_and_medicines,The seller advertises unapproved medicine. Message me to order. Reference 33.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-034,controlled_goods_and_medicines,The seller advertises psychotropic substances. Message me to order. Reference 34.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-035,controlled_goods_and_medicines,The seller advertises illegal narcotics. Message me to order. Reference 35.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-036,controlled_goods_and_medicines,A commercial post says illegal drugs are for sale and asks buyers to contact me. Reference 36.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-037,controlled_goods_and_medicines,A commercial post says controlled pills are for sale and asks buyers to contact me. Reference 37.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-038,controlled_goods_and_medicines,A commercial post says unapproved medicine are for sale and asks buyers to contact me. Reference 38.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-039,controlled_goods_and_medicines,A commercial post says psychotropic substances are for sale and asks buyers to contact me. Reference 39.,Illegal Activities
CONTROLLED_GOODS_AND_MEDICINES-040,controlled_goods_and_medicines,A commercial post says illegal narcotics are for sale and asks buyers to contact me. Reference 40.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-001,weapons_documents_and_counterfeit,A unlicensed gun is for sale. Contact me to order now. Reference 1.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-002,weapons_documents_and_counterfeit,A gun without a license is for sale. Contact me to order now. Reference 2.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-003,weapons_documents_and_counterfeit,A prohibited weapon is for sale. Contact me to order now. Reference 3.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-004,weapons_documents_and_counterfeit,A fake identity document is for sale. Contact me to order now. Reference 4.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-005,weapons_documents_and_counterfeit,A forged certificate is for sale. Contact me to order now. Reference 5.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-006,weapons_documents_and_counterfeit,A counterfeit currency is for sale. Contact me to order now. Reference 6.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-007,weapons_documents_and_counterfeit,This post offers a unlicensed gun; delivery available. Reference 7.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-008,weapons_documents_and_counterfeit,This post offers a gun without a license; delivery available. Reference 8.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-009,weapons_documents_and_counterfeit,This post offers a prohibited weapon; delivery available. Reference 9.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-010,weapons_documents_and_counterfeit,This post offers a fake identity document; delivery available. Reference 10.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-011,weapons_documents_and_counterfeit,This post offers a forged certificate; delivery available. Reference 11.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-012,weapons_documents_and_counterfeit,This post offers a counterfeit currency; delivery available. Reference 12.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-013,weapons_documents_and_counterfeit,The account advertises a unlicensed gun. Buy now. Reference 13.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-014,weapons_documents_and_counterfeit,The account advertises a gun without a license. Buy now. Reference 14.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-015,weapons_documents_and_counterfeit,The account advertises a prohibited weapon. Buy now. Reference 15.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-016,weapons_documents_and_counterfeit,The account advertises a fake identity document. Buy now. Reference 16.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-017,weapons_documents_and_counterfeit,The account advertises a forged certificate. Buy now. Reference 17.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-018,weapons_documents_and_counterfeit,The account advertises a counterfeit currency. Buy now. Reference 18.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-019,weapons_documents_and_counterfeit,A listing provides a unlicensed gun. Message me to order. Reference 19.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-020,weapons_documents_and_counterfeit,A listing provides a gun without a license. Message me to order. Reference 20.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-021,weapons_documents_and_counterfeit,A listing provides a prohibited weapon. Message me to order. Reference 21.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-022,weapons_documents_and_counterfeit,A listing provides a fake identity document. Message me to order. Reference 22.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-023,weapons_documents_and_counterfeit,A listing provides a forged certificate. Message me to order. Reference 23.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-024,weapons_documents_and_counterfeit,A listing provides a counterfeit currency. Message me to order. Reference 24.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-025,weapons_documents_and_counterfeit,A unlicensed gun is for sale. Contact me to order now. Reference 25.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-026,weapons_documents_and_counterfeit,A gun without a license is for sale. Contact me to order now. Reference 26.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-027,weapons_documents_and_counterfeit,A prohibited weapon is for sale. Contact me to order now. Reference 27.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-028,weapons_documents_and_counterfeit,A fake identity document is for sale. Contact me to order now. Reference 28.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-029,weapons_documents_and_counterfeit,A forged certificate is for sale. Contact me to order now. Reference 29.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-030,weapons_documents_and_counterfeit,A counterfeit currency is for sale. Contact me to order now. Reference 30.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-031,weapons_documents_and_counterfeit,This post offers a unlicensed gun; delivery available. Reference 31.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-032,weapons_documents_and_counterfeit,This post offers a gun without a license; delivery available. Reference 32.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-033,weapons_documents_and_counterfeit,This post offers a prohibited weapon; delivery available. Reference 33.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-034,weapons_documents_and_counterfeit,This post offers a fake identity document; delivery available. Reference 34.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-035,weapons_documents_and_counterfeit,This post offers a forged certificate; delivery available. Reference 35.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-036,weapons_documents_and_counterfeit,This post offers a counterfeit currency; delivery available. Reference 36.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-037,weapons_documents_and_counterfeit,The account advertises a unlicensed gun. Buy now. Reference 37.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-038,weapons_documents_and_counterfeit,The account advertises a gun without a license. Buy now. Reference 38.,Illegal Activities
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-039,weapons_documents_and_counterfeit,The account advertises a prohibited weapon. Buy now. Reference 39.,Illegal Activities
