case_id,group,text,expected_category,dangerous_violation
DANGER-V1-001,dangerous_stunt_or_challenge_encouragement,The post urges viewers to try this dangerous stunt. It encourages imitation without professional supervision.,Dangerous Content,True
DANGER-V1-002,dangerous_stunt_or_challenge_encouragement,The post urges viewers to try this dangerous stunt. No protective controls or safety equipment are shown.,Dangerous Content,True
DANGER-V1-003,dangerous_stunt_or_challenge_encouragement,The post urges viewers to try this dangerous stunt. The call to participate is direct and approving.,Dangerous Content,True
DANGER-V1-004,dangerous_stunt_or_challenge_encouragement,The post urges viewers to try this dangerous stunt. The creator presents the risk as entertainment.,Dangerous Content,True
DANGER-V1-005,dangerous_stunt_or_challenge_encouragement,The video tells teenagers to perform this dangerous stunt. It encourages imitation without professional supervision.,Dangerous Content,True
DANGER-V1-006,dangerous_stunt_or_challenge_encouragement,The video tells teenagers to perform this dangerous stunt. No protective controls or safety equipment are shown.,Dangerous Content,True
DANGER-V1-007,dangerous_stunt_or_challenge_encouragement,The video tells teenagers to perform this dangerous stunt. The call to participate is direct and approving.,Dangerous Content,True
DANGER-V1-008,dangerous_stunt_or_challenge_encouragement,The video tells teenagers to perform this dangerous stunt. The creator presents the risk as entertainment.,Dangerous Content,True
DANGER-V1-009,dangerous_stunt_or_challenge_encouragement,The creator asks followers to do this dangerous challenge. It encourages imitation without professional supervision.,Dangerous Content,True
DANGER-V1-010,dangerous_stunt_or_challenge_encouragement,The creator asks followers to do this dangerous challenge. No protective controls or safety equipment are shown.,Dangerous Content,True
DANGER-V1-011,dangerous_stunt_or_challenge_encouragement,The creator asks followers to do this dangerous challenge. The call to participate is direct and approving.,Dangerous Content,True
DANGER-V1-012,dangerous_stunt_or_challenge_encouragement,The creator asks followers to do this dangerous challenge. The creator presents the risk as entertainment.,Dangerous Content,True
DANGER-V1-013,dangerous_stunt_or_challenge_encouragement,The caption tells viewers to copy this life threatening stunt. It encourages imitation without professional supervision.,Dangerous Content,True
DANGER-V1-014,dangerous_stunt_or_challenge_encouragement,The caption tells viewers to copy this life threatening stunt. No protective controls or safety equipment are shown.,Dangerous Content,True
DANGER-V1-015,dangerous_stunt_or_challenge_encouragement,The caption tells viewers to copy this life threatening stunt. The call to participate is direct and approving.,Dangerous Content,True
DANGER-V1-016,dangerous_stunt_or_challenge_encouragement,The caption tells viewers to copy this life threatening stunt. The creator presents the risk as entertainment.,Dangerous Content,True
DANGER-V1-017,dangerous_stunt_or_challenge_encouragement,The stream dares viewers to jump from the roof. It encourages imitation without professional supervision.,Dangerous Content,True
DANGER-V1-018,dangerous_stunt_or_challenge_encouragement,The stream dares viewers to jump from the roof. No protective controls or safety equipment are shown.,Dangerous Content,True
DANGER-V1-019,dangerous_stunt_or_challenge_encouragement,The stream dares viewers to jump from the roof. The call to participate is direct and approving.,Dangerous Content,True
DANGER-V1-020,dangerous_stunt_or_challenge_encouragement,The stream dares viewers to jump from the roof. The creator presents the risk as entertainment.,Dangerous Content,True
DANGER-V1-021,hazardous_home_experiment_or_explosion,The tutorial encourages a dangerous experiment at home. It targets ordinary viewers rather than trained professionals.,Dangerous Content,True
