split,label,family,text
train,religiously_offensive,prior_rc2_development::sacred_object_or_text_attack,The post tells viewers to scorch the holy book as a deliberate insult.
train,religiously_offensive,prior_rc2_development::sacred_object_or_text_attack,The post tells viewers to shred the sacred text as a deliberate insult.
train,religiously_offensive,prior_rc2_development::sacred_object_or_text_attack,The post tells viewers to deface the religious scripture as a deliberate insult.
train,religiously_offensive,prior_rc2_development::sacred_object_or_text_attack,The post tells viewers to smash the sacred emblem as a deliberate insult.
train,religiously_offensive,prior_rc2_development::sacred_object_or_text_attack,The post tells viewers to break the religious symbol as a deliberate insult.
train,religiously_offensive,prior_rc2_development::sacred_object_or_text_attack,The post tells viewers to trample the sacred image as a deliberate insult.
train,religiously_offensive,prior_rc2_development::sacred_object_or_text_attack,The post tells viewers to rip the religious statue as a deliberate insult.
train,religiously_offensive,prior_rc2_development::sacred_object_or_text_attack,The post tells viewers to crush the prayer beads as a deliberate insult.
train,religiously_offensive,prior_rc2_development::sacred_object_or_text_attack,The post tells viewers to vandalize the ceremonial symbol as a deliberate insult.
train,religiously_offensive,prior_rc2_development::sacred_object_or_text_attack,The post tells viewers to drag through mud the sacred banner as a deliberate insult.
train,religiously_offensive,prior_rc2_development::sacred_object_or_text_attack,The post tells viewers to burn the religious flag as a deliberate insult.
train,religiously_offensive,prior_rc2_development::sacred_object_or_text_attack,The post tells viewers to wreck the religious monument as a deliberate insult.
train,religiously_offensive,prior_rc2_development::sacred_object_or_text_attack,The post tells viewers to tear the holy scripture as a deliberate insult.
train,religiously_offensive,prior_rc2_development::sacred_object_or_text_attack,The post tells viewers to damage the sacred object as a deliberate insult.
train,religiously_offensive,prior_rc2_development::sacred_object_or_text_attack,The post tells viewers to destroy the religious book as a deliberate insult.
train,religiously_offensive,prior_rc2_development::sacred_object_or_text_attack,The post tells viewers to mutilate the sacred statue as a deliberate insult.
train,religiously_offensive,prior_rc2_development::sacred_object_or_text_attack,The post tells viewers to desecrate the religious emblem as a deliberate insult.
train,religiously_offensive,prior_rc2_development::sacred_object_or_text_attack,The post tells viewers to cover with obscene graffiti the sacred symbol as a deliberate insult.
