record_id,group,text,expected_category,existing_category,existing_action,existing_review
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-001,unauthorized_audiovisual_distribution,This account uploads the full copyrighted film without permission; development case 1.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-002,unauthorized_audiovisual_distribution,Evidence indicates this site streams the full television episode without authorization; development case 2.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-003,unauthorized_audiovisual_distribution,This user provides unauthorized downloads of a copyrighted song; rights holder did not authorize it; development case 3.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-004,unauthorized_audiovisual_distribution,A verified rights-holder notice says this post rebroadcasts the full music album with no distribution licence; development case 4.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-005,unauthorized_audiovisual_distribution,This account uploads the full copyrighted film without permission; development case 5.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-006,unauthorized_audiovisual_distribution,Evidence indicates this site streams the full television episode without authorization; development case 6.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-007,unauthorized_audiovisual_distribution,This user provides unauthorized downloads of a copyrighted song; rights holder did not authorize it; development case 7.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-008,unauthorized_audiovisual_distribution,A verified rights-holder notice says this post rebroadcasts the full music album with no distribution licence; development case 8.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-009,unauthorized_audiovisual_distribution,This account uploads the full copyrighted film without permission; development case 9.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-010,unauthorized_audiovisual_distribution,Evidence indicates this site streams the full television episode without authorization; development case 10.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-011,unauthorized_audiovisual_distribution,This user provides unauthorized downloads of a copyrighted song; rights holder did not authorize it; development case 11.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-012,unauthorized_audiovisual_distribution,A verified rights-holder notice says this post rebroadcasts the full music album with no distribution licence; development case 12.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-013,unauthorized_audiovisual_distribution,This account uploads the full copyrighted film without permission; development case 13.,Intellectual Property Infringement,Normal/Ignore,Allow,False
