id,content_type,text,category,severity,action,human_review_required,grey_case,reason,policy_version
TEX-0001,text,A post tells users to burn another community's religious book. Synthetic variation 1.,Religiously Offensive Content,High,Flag and send for human review,True,True,"The content contains indicators of Religiously Offensive Content, but the final enforcement decision requires human review.",2026.08
TEX-0002,text,A post says that a protected group is inferior. Synthetic variation 1.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
TEX-0003,text,A post praises a banned terrorist organization and asks users to join. Synthetic variation 1.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
TEX-0004,text,A person sends the direct threat: I will kill you tonight. Synthetic variation 1.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
TEX-0005,text,The video tells viewers to try a dangerous stunt without safety equipment. Synthetic variation 1.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
TEX-0006,text,The content contains explicit adult sexual imagery. Synthetic variation 1.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
TEX-0007,text,A user repeatedly demands that another person send nude pictures. Synthetic variation 1.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
TEX-0008,text,A user repeatedly tells another person that they are worthless. Synthetic variation 1.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
TEX-0009,text,A private video was secretly recorded and shared without consent. Synthetic variation 1.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
TEX-0010,text,A post offers illegal drugs for sale. Synthetic variation 1.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
TEX-0011,text,A post exposes another person's Aadhaar card number without permission. Synthetic variation 1.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
TEX-0012,text,An account impersonates a bank representative to deceive customers. Synthetic variation 1.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
TEX-0013,text,A fabricated report presents a made-up public event as fact. Synthetic variation 1.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
TEX-0014,text,URGENT! Claim your prize now by sending your OTP on WhatsApp. Synthetic variation 1.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
TEX-0015,text,A post distributes a pirated movie download without authorization. Synthetic variation 1.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
TEX-0016,text,A post provides a link to download credential-stealing malware. Synthetic variation 1.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
TEX-0017,text,A user directly tells another person: you are a disgusting idiot. Synthetic variation 1.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
TEX-0018,text,An adult asks a minor to keep their private conversation secret. Synthetic variation 1.,Child Exploitation,Critical,Flag and send for human review,True,True,"The content contains indicators of Child Exploitation, but the final enforcement decision requires human review.",2026.08
TEX-0019,text,A user shares a photograph of a meal with friends. Synthetic variation 1.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
TEX-0020,text,The message encourages people to destroy a religious symbol. Synthetic variation 2.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
TEX-0021,text,The message calls for a religious group to be excluded from society. Synthetic variation 2.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
TEX-0022,text,The message requests donations for a terrorist organization. Synthetic variation 2.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
TEX-0023,text,The content graphically depicts a person being tortured. Synthetic variation 2.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
TEX-0024,text,A post encourages users to jump from a roof as part of a challenge. Synthetic variation 2.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
TEX-0025,text,The image description indicates visible genitalia outside an allowed context. Synthetic variation 2.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
TEX-0026,text,The message contains an unwanted request for a sexual favour. Synthetic variation 2.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
TEX-0027,text,Several accounts coordinate to publicly humiliate one individual. Synthetic variation 2.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
TEX-0028,text,The content contains a leaked intimate video posted without consent. Synthetic variation 2.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
TEX-0029,text,The message advertises an unapproved medicine as a guaranteed cure. Synthetic variation 2.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
TEX-0030,text,The content publishes someone's credit card number and contact details. Synthetic variation 2.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
TEX-0031,text,A fake customer-support profile pretends to represent a company. Synthetic variation 2.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
TEX-0032,text,A manipulated headline makes a claim unsupported by the article. Synthetic variation 2.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
TEX-0033,text,A fake banking message asks the recipient to share their password. Synthetic variation 2.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
TEX-0034,text,The content offers counterfeit products using a protected trademark. Synthetic variation 2.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
TEX-0035,text,The content distributes a ransomware payload intended to compromise devices. Synthetic variation 2.,Malicious Programs,Critical,Flag and send for human review,True,True,"The content contains indicators of Malicious Programs, but the final enforcement decision requires human review.",2026.08
TEX-0036,text,The message calls a targeted person a stupid loser and piece of trash. Synthetic variation 2.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
TEX-0037,text,An account asks a child to send private personal images. Synthetic variation 2.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
TEX-0038,text,A teacher posts an ordinary classroom announcement. Synthetic variation 2.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
TEX-0039,text,A user posts denigrating abuse directed at a religious prophet. Synthetic variation 3.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
TEX-0040,text,A user attacks people because of their race and nationality. Synthetic variation 3.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
TEX-0041,text,The content distributes extremist recruitment propaganda. Synthetic variation 3.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
