language,phrase,normalized_phrase,weight,source_page
assamese,$ বনাওক,$ বনাওক,1.0,9
assamese,$ ৰ ওপৰত দান কৰ,$ ৰ ওপৰত দান কৰ,1.25,4
assamese,$ ৰািহ কৰক,$ ৰািহ কৰক,1.25,13
assamese,0.99,0.99,1.0,1
assamese,0.999,0.999,1.0,1
assamese,100%,100%,1.0,1
assamese,absa bank,absa bank,1.0,1
assamese,amazon,amazon,1.0,1
assamese,atm,atm,1.0,1
assamese,b1tc0in,b1tc0in,1.0,2
assamese,binance,binance,1.0,2
assamese,bitc0in,bitc0in,1.0,2
assamese,btc,btc,1.0,2
assamese,cashcashcash,cashcashcash,1.0,3
assamese,cialis,cialis,1.0,3
assamese,covid,covid,1.0,4
assamese,cutie,cutie,1.0,4
assamese,dm,dm,1.0,4
assamese,eth3rium,eth3rium,1.0,5
assamese,flipkart,flipkart,1.0,5
assamese,fnb,fnb,1.0,5
assamese,follow back,follow back,1.0,5
assamese,get upto,get upto,1.0,6
assamese,give away,give away,1.0,6
assamese,giveaway,giveaway,1.0,6
assamese,inam,inam,1.0,7
assamese,invest0r,invest0r,1.0,8
assamese,jackpot,jackpot,1.0,8
assamese,lambo,lambo,1.0,8
assamese,paypal,paypal,1.0,11
assamese,paytm,paytm,1.0,11
assamese,rekoo,rekoo,1.0,12
assamese,reply িবষয় আঁতৰা,reply িবষয় আঁতৰা,1.25,13
assamese,rs,rs,1.0,13
assamese,rs.,rs.,1.0,13
assamese,seo,seo,1.0,13
assamese,seo সজঁিুল,seo সজঁিুল,1.0,13
assamese,smarttrade,smarttrade,1.0,14
assamese,subscribe kare,subscribe kare,1.0,14
assamese,t.me,t.me,1.0,14
assamese,viagra,viagra,1.5,15
assamese,vip,vip,1.0,15
assamese,wa.me,wa.me,1.0,15
assamese,xanax,xanax,1.5,16
assamese,xxx,xxx,1.0,16
assamese,£ ৰ ওপৰত দান কৰ,£ ৰ ওপৰত দান কৰ,1.25,4
assamese,অংশকালীন,অংশকালীন,1.0,11
assamese,অংশকালীন চাকিৰ,অংশকালীন চাকিৰ,1.0,11
assamese,অতুলনীয় অফাৰ,অতুলনীয় অফাৰ,1.0,15
assamese,অনলাইন,অনলাইন,1.0,11
assamese,অনলাইন আয়,অনলাইন আয়,1.0,11
assamese,অনলাইন আেবদন ক,অনলাইন আেবদন ক,1.25,1
assamese,অনলাইন িবজৰ সুেযা,অনলাইন িবজৰ সুেযা,1.25,11
