case_id,group,text,expected_decision,religious_violation
REL-V3DEV-001,sacred_object_or_text_attack,The post tells viewers to scorch the holy book as a deliberate insult.,religiously_offensive_review_only,True
REL-V3DEV-002,sacred_object_or_text_attack,The post tells viewers to shred the sacred text as a deliberate insult.,religiously_offensive_review_only,True
REL-V3DEV-003,sacred_object_or_text_attack,The post tells viewers to deface the religious scripture as a deliberate insult.,religiously_offensive_review_only,True
REL-V3DEV-004,sacred_object_or_text_attack,The post tells viewers to smash the sacred emblem as a deliberate insult.,religiously_offensive_review_only,True
REL-V3DEV-005,sacred_object_or_text_attack,The post tells viewers to break the religious symbol as a deliberate insult.,religiously_offensive_review_only,True
REL-V3DEV-006,sacred_object_or_text_attack,The post tells viewers to trample the sacred image as a deliberate insult.,religiously_offensive_review_only,True
REL-V3DEV-007,sacred_object_or_text_attack,The post tells viewers to rip the religious statue as a deliberate insult.,religiously_offensive_review_only,True
REL-V3DEV-008,sacred_object_or_text_attack,The post tells viewers to crush the prayer beads as a deliberate insult.,religiously_offensive_review_only,True
REL-V3DEV-009,sacred_object_or_text_attack,The post tells viewers to vandalize the ceremonial symbol as a deliberate insult.,religiously_offensive_review_only,True
REL-V3DEV-010,sacred_object_or_text_attack,The post tells viewers to drag through mud the sacred banner as a deliberate insult.,religiously_offensive_review_only,True
REL-V3DEV-011,sacred_object_or_text_attack,The post tells viewers to burn the religious flag as a deliberate insult.,religiously_offensive_review_only,True
REL-V3DEV-012,sacred_object_or_text_attack,The post tells viewers to wreck the religious monument as a deliberate insult.,religiously_offensive_review_only,True
REL-V3DEV-013,sacred_object_or_text_attack,The post tells viewers to tear the holy scripture as a deliberate insult.,religiously_offensive_review_only,True
REL-V3DEV-014,sacred_object_or_text_attack,The post tells viewers to damage the sacred object as a deliberate insult.,religiously_offensive_review_only,True
REL-V3DEV-015,sacred_object_or_text_attack,The post tells viewers to destroy the religious book as a deliberate insult.,religiously_offensive_review_only,True
REL-V3DEV-016,sacred_object_or_text_attack,The post tells viewers to mutilate the sacred statue as a deliberate insult.,religiously_offensive_review_only,True
REL-V3DEV-017,sacred_object_or_text_attack,The post tells viewers to desecrate the religious emblem as a deliberate insult.,religiously_offensive_review_only,True
REL-V3DEV-018,sacred_object_or_text_attack,The post tells viewers to cover with obscene graffiti the sacred symbol as a deliberate insult.,religiously_offensive_review_only,True
REL-V3DEV-019,sacred_object_or_text_attack,The post tells viewers to torch the holy text as a deliberate insult.,religiously_offensive_review_only,True
REL-V3DEV-020,sacred_object_or_text_attack,The post tells viewers to dismantle the sacred monument as a deliberate insult.,religiously_offensive_review_only,True
REL-V3DEV-021,deity_prophet_or_figure_attack,The account urges people to mock the deity.,religiously_offensive_review_only,True
REL-V3DEV-022,deity_prophet_or_figure_attack,The account urges people to ridicule the prophet.,religiously_offensive_review_only,True
REL-V3DEV-023,deity_prophet_or_figure_attack,The account urges people to vilify the religious figure.,religiously_offensive_review_only,True
REL-V3DEV-024,deity_prophet_or_figure_attack,The account urges people to demean the spiritual leader.,religiously_offensive_review_only,True
REL-V3DEV-025,deity_prophet_or_figure_attack,The account urges people to humiliate the revered religious teacher.,religiously_offensive_review_only,True
REL-V3DEV-026,deity_prophet_or_figure_attack,The account urges people to insult the sacred figure.,religiously_offensive_review_only,True
REL-V3DEV-027,deity_prophet_or_figure_attack,The account urges people to degrade the religious leader.,religiously_offensive_review_only,True
REL-V3DEV-028,deity_prophet_or_figure_attack,The account urges people to revile the god.,religiously_offensive_review_only,True
REL-V3DEV-029,deity_prophet_or_figure_attack,The account urges people to deride the religious figurehead.,religiously_offensive_review_only,True
REL-V3DEV-030,deity_prophet_or_figure_attack,The account urges people to abuse the sacred leader.,religiously_offensive_review_only,True
REL-V3DEV-031,deity_prophet_or_figure_attack,The account urges people to publish an obscene caricature of the prophet.,religiously_offensive_review_only,True
REL-V3DEV-032,deity_prophet_or_figure_attack,The account urges people to share a degrading depiction of the deity.,religiously_offensive_review_only,True
REL-V3DEV-033,deity_prophet_or_figure_attack,The account urges people to create an abusive caricature of the religious leader.,religiously_offensive_review_only,True
REL-V3DEV-034,deity_prophet_or_figure_attack,The account urges people to circulate an obscene depiction of the spiritual leader.,religiously_offensive_review_only,True
REL-V3DEV-035,deity_prophet_or_figure_attack,The account urges people to post a morphed image to humiliate the sacred figure.,religiously_offensive_review_only,True
REL-V3DEV-036,deity_prophet_or_figure_attack,The account urges people to publicly mock the revered teacher.,religiously_offensive_review_only,True
REL-V3DEV-037,deity_prophet_or_figure_attack,The account urges people to repeatedly insult the god.,religiously_offensive_review_only,True
REL-V3DEV-038,deity_prophet_or_figure_attack,The account urges people to deliberately ridicule the religious figure.,religiously_offensive_review_only,True
REL-V3DEV-039,deity_prophet_or_figure_attack,The account urges people to publish a degrading caricature of the religious figurehead.,religiously_offensive_review_only,True
REL-V3DEV-040,deity_prophet_or_figure_attack,The account urges people to revile the prophet.,religiously_offensive_review_only,True
REL-V3DEV-041,place_of_worship_attack,A public message calls on supporters to wreck the temple.,religiously_offensive_review_only,True
