record_id,group,text,expected_category,existing_category,existing_action,existing_review
MALWARE_DISTRIBUTION_AND_INSTALLATION-001,malware_distribution_and_installation,This upload distributes the malware to selected workstations; inert case 1.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-002,malware_distribution_and_installation,This post offers the program for download: a trojan program for unwitting user devices; inert case 2.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-003,malware_distribution_and_installation,This attachment sends the binary containing spyware to a victim account; inert case 3.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-004,malware_distribution_and_installation,This account promotes installation of the computer virus on a business network; inert case 4.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-005,malware_distribution_and_installation,This upload distributes the malware to selected workstations; inert case 5.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-006,malware_distribution_and_installation,This post offers the program for download: a trojan program for unwitting user devices; inert case 6.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-007,malware_distribution_and_installation,This attachment sends the binary containing spyware to a victim account; inert case 7.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-008,malware_distribution_and_installation,This account promotes installation of the computer virus on a business network; inert case 8.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-009,malware_distribution_and_installation,This upload distributes the malware to selected workstations; inert case 9.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-010,malware_distribution_and_installation,This post offers the program for download: a trojan program for unwitting user devices; inert case 10.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-011,malware_distribution_and_installation,This attachment sends the binary containing spyware to a victim account; inert case 11.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-012,malware_distribution_and_installation,This account promotes installation of the computer virus on a business network; inert case 12.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-013,malware_distribution_and_installation,This upload distributes the malware to selected workstations; inert case 13.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-014,malware_distribution_and_installation,This post offers the program for download: a trojan program for unwitting user devices; inert case 14.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-015,malware_distribution_and_installation,This attachment sends the binary containing spyware to a victim account; inert case 15.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-016,malware_distribution_and_installation,This account promotes installation of the computer virus on a business network; inert case 16.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-017,malware_distribution_and_installation,This upload distributes the malware to selected workstations; inert case 17.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-018,malware_distribution_and_installation,This post offers the program for download: a trojan program for unwitting user devices; inert case 18.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-019,malware_distribution_and_installation,This attachment sends the binary containing spyware to a victim account; inert case 19.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-020,malware_distribution_and_installation,This account promotes installation of the computer virus on a business network; inert case 20.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-021,malware_distribution_and_installation,This upload distributes the malware to selected workstations; inert case 21.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-022,malware_distribution_and_installation,This post offers the program for download: a trojan program for unwitting user devices; inert case 22.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-023,malware_distribution_and_installation,This attachment sends the binary containing spyware to a victim account; inert case 23.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-024,malware_distribution_and_installation,This account promotes installation of the computer virus on a business network; inert case 24.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-025,malware_distribution_and_installation,This upload distributes the malware to selected workstations; inert case 25.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-026,malware_distribution_and_installation,This post offers the program for download: a trojan program for unwitting user devices; inert case 26.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-027,malware_distribution_and_installation,This attachment sends the binary containing spyware to a victim account; inert case 27.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-028,malware_distribution_and_installation,This account promotes installation of the computer virus on a business network; inert case 28.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-029,malware_distribution_and_installation,This upload distributes the malware to selected workstations; inert case 29.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-030,malware_distribution_and_installation,This post offers the program for download: a trojan program for unwitting user devices; inert case 30.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-031,malware_distribution_and_installation,This attachment sends the binary containing spyware to a victim account; inert case 31.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-032,malware_distribution_and_installation,This account promotes installation of the computer virus on a business network; inert case 32.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-033,malware_distribution_and_installation,This upload distributes the malware to selected workstations; inert case 33.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-034,malware_distribution_and_installation,This post offers the program for download: a trojan program for unwitting user devices; inert case 34.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-035,malware_distribution_and_installation,This attachment sends the binary containing spyware to a victim account; inert case 35.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-036,malware_distribution_and_installation,This account promotes installation of the computer virus on a business network; inert case 36.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-037,malware_distribution_and_installation,This upload distributes the malware to selected workstations; inert case 37.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-038,malware_distribution_and_installation,This post offers the program for download: a trojan program for unwitting user devices; inert case 38.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-039,malware_distribution_and_installation,This attachment sends the binary containing spyware to a victim account; inert case 39.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-040,malware_distribution_and_installation,This account promotes installation of the computer virus on a business network; inert case 40.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-041,malware_distribution_and_installation,This upload distributes the malware to selected workstations; inert case 41.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-042,malware_distribution_and_installation,This post offers the program for download: a trojan program for unwitting user devices; inert case 42.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-043,malware_distribution_and_installation,This attachment sends the binary containing spyware to a victim account; inert case 43.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-044,malware_distribution_and_installation,This account promotes installation of the computer virus on a business network; inert case 44.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-045,malware_distribution_and_installation,This upload distributes the malware to selected workstations; inert case 45.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-046,malware_distribution_and_installation,This post offers the program for download: a trojan program for unwitting user devices; inert case 46.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-047,malware_distribution_and_installation,This attachment sends the binary containing spyware to a victim account; inert case 47.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-048,malware_distribution_and_installation,This account promotes installation of the computer virus on a business network; inert case 48.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-049,malware_distribution_and_installation,This upload distributes the malware to selected workstations; inert case 49.,Malicious Programs,Normal/Ignore,Allow,False
MALWARE_DISTRIBUTION_AND_INSTALLATION-050,malware_distribution_and_installation,This post offers the program for download: a trojan program for unwitting user devices; inert case 50.,Malicious Programs,Normal/Ignore,Allow,False
RANSOMWARE_AND_DESTRUCTIVE_DEPLOYMENT-001,ransomware_and_destructive_deployment,This attachment currently deploys the ransomware that encrypts files for ransom on selected workstations; inert case 1.,Malicious Programs,Normal/Ignore,Allow,False
RANSOMWARE_AND_DESTRUCTIVE_DEPLOYMENT-002,ransomware_and_destructive_deployment,This upload launches the destructive wiper that wipes device data on unwitting user devices; inert case 2.,Malicious Programs,Normal/Ignore,Allow,False
RANSOMWARE_AND_DESTRUCTIVE_DEPLOYMENT-003,ransomware_and_destructive_deployment,This post delivers the program to targets: malware that destroys stored files on a victim account; inert case 3.,Malicious Programs,Normal/Ignore,Allow,False
