group,text,expected,owner,action,review
unauthorized_identity_material_and_impact,This user uses stolen credentials and accessed the account; RC5 development 1 for a member.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
unauthorized_identity_material_and_impact,Evidence indicates this account uses login credentials without authorization and changed the account email; RC5 development 2 for a patient.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
unauthorized_identity_material_and_impact,A verified victim report says this user uses a customer account without permission and sent messages to contacts; RC5 development 3 for a client.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
unauthorized_identity_material_and_impact,This account uses financial information without authorization and applied for a loan; RC5 development 4 for a resident.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
unauthorized_identity_material_and_impact,This user uses stolen credentials and accessed the account; RC5 development 5 for a member.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
unauthorized_identity_material_and_impact,Evidence indicates this account uses login credentials without authorization and changed the account email; RC5 development 6 for a patient.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
unauthorized_identity_material_and_impact,A verified victim report says this user uses a customer account without permission and sent messages to contacts; RC5 development 7 for a client.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
unauthorized_identity_material_and_impact,This account uses financial information without authorization and applied for a loan; RC5 development 8 for a resident.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
unauthorized_identity_material_and_impact,This user uses stolen credentials and accessed the account; RC5 development 9 for a member.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
unauthorized_identity_material_and_impact,Evidence indicates this account uses login credentials without authorization and changed the account email; RC5 development 10 for a patient.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
unauthorized_identity_material_and_impact,A verified victim report says this user uses a customer account without permission and sent messages to contacts; RC5 development 11 for a client.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
unauthorized_identity_material_and_impact,This account uses financial information without authorization and applied for a loan; RC5 development 12 for a resident.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
unauthorized_identity_material_and_impact,This user uses stolen credentials and accessed the account; RC5 development 13 for a member.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
unauthorized_identity_material_and_impact,Evidence indicates this account uses login credentials without authorization and changed the account email; RC5 development 14 for a patient.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
unauthorized_identity_material_and_impact,A verified victim report says this user uses a customer account without permission and sent messages to contacts; RC5 development 15 for a client.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
unauthorized_identity_material_and_impact,This account uses financial information without authorization and applied for a loan; RC5 development 16 for a resident.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
unauthorized_identity_material_and_impact,This user uses stolen credentials and accessed the account; RC5 development 17 for a member.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
unauthorized_identity_material_and_impact,Evidence indicates this account uses login credentials without authorization and changed the account email; RC5 development 18 for a patient.,Identity Theft & Impersonation,Normal/Ignore,Allow,False
