id,content_type,file_name,image_caption,ocr_text,visual_signals,category,severity,action,human_review_required,grey_case,reason,policy_version
IMA-0001,image,sample_image_0001.jpg,A post tells users to burn another community's religious book.,,Safe synthetic visual description for the Religiously Offensive Content policy category. No raw harmful media is stored.,Religiously Offensive Content,High,Flag and send for human review,True,True,"The content contains indicators of Religiously Offensive Content, but the final enforcement decision requires human review.",2026.08
IMA-0002,image,sample_image_0002.png,A post says that a protected group is inferior.,A post says that a protected group is inferior.,Safe synthetic visual description for the Hate Speech & Discrimination policy category. No raw harmful media is stored.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
IMA-0003,image,sample_image_0003.webp,A post praises a banned terrorist organization and asks users to join.,A post praises a banned terrorist organization and asks users to join.,Safe synthetic visual description for the Terrorism & Extremism policy category. No raw harmful media is stored.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
IMA-0004,image,sample_image_0004.jpg,A person sends the direct threat: I will kill you tonight.,A person sends the direct threat: I will kill you tonight.,Safe synthetic visual description for the Violent Content policy category. No raw harmful media is stored.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
IMA-0005,image,sample_image_0005.png,The video tells viewers to try a dangerous stunt without safety equipment.,,Safe synthetic visual description for the Dangerous Content policy category. No raw harmful media is stored.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
IMA-0006,image,sample_image_0006.webp,The content contains explicit adult sexual imagery.,The content contains explicit adult sexual imagery.,"Safe synthetic visual description for the Graphic, Obscene & Sexual Content policy category. No raw harmful media is stored.","Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
IMA-0007,image,sample_image_0007.jpg,A user repeatedly demands that another person send nude pictures.,A user repeatedly demands that another person send nude pictures.,Safe synthetic visual description for the Sexual Harassment policy category. No raw harmful media is stored.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
IMA-0008,image,sample_image_0008.png,A user repeatedly tells another person that they are worthless.,A user repeatedly tells another person that they are worthless.,Safe synthetic visual description for the Cyberbullying & Harassment policy category. No raw harmful media is stored.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
IMA-0009,image,sample_image_0009.webp,A private video was secretly recorded and shared without consent.,,Safe synthetic visual description for the Invasion of Privacy policy category. No raw harmful media is stored.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
IMA-0010,image,sample_image_0010.jpg,A post offers illegal drugs for sale.,A post offers illegal drugs for sale.,Safe synthetic visual description for the Illegal Activities policy category. No raw harmful media is stored.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
IMA-0011,image,sample_image_0011.png,A post exposes another person's Aadhaar card number without permission.,A post exposes another person's Aadhaar card number without permission.,Safe synthetic visual description for the Publishing Private Information policy category. No raw harmful media is stored.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
IMA-0012,image,sample_image_0012.webp,An account impersonates a bank representative to deceive customers.,An account impersonates a bank representative to deceive customers.,Safe synthetic visual description for the Identity Theft & Impersonation policy category. No raw harmful media is stored.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
IMA-0013,image,sample_image_0013.jpg,A fabricated report presents a made-up public event as fact.,,Safe synthetic visual description for the Misinformation & Fake News policy category. No raw harmful media is stored.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
IMA-0014,image,sample_image_0014.png,URGENT! Claim your prize now by sending your OTP on WhatsApp.,URGENT! Claim your prize now by sending your OTP on WhatsApp.,"Safe synthetic visual description for the Spam, Scam & Phishing policy category. No raw harmful media is stored.","Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
IMA-0015,image,sample_image_0015.webp,A post distributes a pirated movie download without authorization.,A post distributes a pirated movie download without authorization.,Safe synthetic visual description for the Intellectual Property Infringement policy category. No raw harmful media is stored.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
IMA-0016,image,sample_image_0016.jpg,A post provides a link to download credential-stealing malware.,A post provides a link to download credential-stealing malware.,Safe synthetic visual description for the Malicious Programs policy category. No raw harmful media is stored.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
IMA-0017,image,sample_image_0017.png,A user directly tells another person: you are a disgusting idiot.,,Safe synthetic visual description for the Abusive Words policy category. No raw harmful media is stored.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
IMA-0018,image,sample_image_0018.webp,An adult asks a minor to keep their private conversation secret.,An adult asks a minor to keep their private conversation secret.,Safe synthetic visual description for the Child Exploitation policy category. No raw harmful media is stored.,Child Exploitation,Critical,Flag and send for human review,True,True,"The content contains indicators of Child Exploitation, but the final enforcement decision requires human review.",2026.08
