qid,primary_name,aliases_json,matchable_aliases_json,primary_name_match_allowed,wikidata_class_qids_json,wikidata_class_labels_json,community_status,confirmed_legal_designation,eligible_for_review_routing,eligible_for_automatic_category,automatic_enforcement_allowed,neutral_mention_is_violation,exact_match_only,behavior_context_required,source_url,source_modified_utc,source_revision,retrieved_utc,license,license_url
Q2000803,Abdullah Azzam Brigades,"[""Al-Qaeda in Lebanon""]","[""Al-Qaeda in Lebanon""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q2000803,2025-12-15T08:34:12Z,2442582148,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q1638579,Abu Nidal Organization,"[""ANO"",""Arab Revolutionary Brigades"",""Black June"",""Black September"",""Fatah–The Revolutionary Council"",""Revolutionary Organization of Socialist Muslims""]","[""Arab Revolutionary Brigades"",""Black June"",""Black September"",""Fatah–The Revolutionary Council"",""Revolutionary Organization of Socialist Muslims""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q1638579,2025-11-13T17:01:50Z,2429143412,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q335361,Abu Sayyaf,"[""Abu Sayyaf group"",""ASG"",""East Asia"",""East Asia Province"",""East Asia Wilayah"",""IS-EAP"",""Islamic State- East Asia Province"",""Wilāyat Šārq Āsiyā""]","[""Abu Sayyaf group"",""East Asia"",""East Asia Province"",""East Asia Wilayah"",""IS-EAP"",""Islamic State- East Asia Province"",""Wilāyat Šārq Āsiyā""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q335361,2026-05-15T16:08:28Z,2492076456,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q3163292,Aden-Abyan Islamic Army,"[""AAIA"",""Islamic Army of Aden""]","[""Islamic Army of Aden""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q3163292,2025-11-13T17:00:35Z,2429143257,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q2826062,Affiche rouge,"[""L ́Affiche rouge"",""Red Cartel""]","[""L ́Affiche rouge"",""Red Cartel""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q2826062,2023-11-06T17:41:03Z,2005752689,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q61054607,Ajang Ajang Group,[],[],True,"[""Q4456236""]","[""terrorist group""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q61054607,2023-10-25T16:33:34Z,1997023608,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q28497569,Ajnad al-Kavkaz,"[""أجناد القوقاز""]","[""أجناد القوقاز""]",True,"[""Q4456236""]","[""terrorist group""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q28497569,2024-12-02T10:21:37Z,2282651697,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q4700722,Akhil Bharat Nepali Ekta Samaj,[],[],True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q4700722,2024-08-17T14:56:58Z,2229754690,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q11189131,AKIA,"[""Anti Korean Interests Agency""]","[""Anti Korean Interests Agency""]",False,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q11189131,2025-06-15T08:53:03Z,2361273364,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q135198088,Al Qaeda in Georgia,[],[],True,"[""Q4456236""]","[""terrorist group""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q135198088,2025-07-24T12:40:53Z,2383627915,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
