language,phrase,normalized_phrase,reason
hindi,अद्भुत प्रस्ताव,अद्भुत प्रस्ताव,Explicitly listed for removal in the source PDF.
hindi,अब तक की सबसे बड़ी सफलता,अब तक की सबसे बड़ी सफलता,Explicitly listed for removal in the source PDF.
hindi,अब समझे,अब समझे,Explicitly listed for removal in the source PDF.
hindi,अलग,अलग,Explicitly listed for removal in the source PDF.
hindi,आकर्षक,आकर्षक,Explicitly listed for removal in the source PDF.
hindi,इलाज,इलाज,Explicitly listed for removal in the source PDF.
hindi,इससे पहले की बहुत देर हो जाए,इससे पहले की बहुत देर हो जाए,Explicitly listed for removal in the source PDF.
hindi,इसे दूर रखें,इसे दूर रखें,Explicitly listed for removal in the source PDF.
hindi,इसे दूर हो जाओ,इसे दूर हो जाओ,Explicitly listed for removal in the source PDF.
hindi,उत्तम,उत्तम,Explicitly listed for removal in the source PDF.
hindi,एक सदस्य होने के नाते,एक सदस्य होने के नाते,Explicitly listed for removal in the source PDF.
hindi,एकदम नया पेजर,एकदम नया पेजर,Explicitly listed for removal in the source PDF.
hindi,कार्रवाई आवश्यक है,कार्रवाई आवश्यक है,Explicitly listed for removal in the source PDF.
hindi,किसी भी कीमत पर नहीं,किसी भी कीमत पर नहीं,Explicitly listed for removal in the source PDF.
hindi,कुछ भी पता करो,कुछ भी पता करो,Explicitly listed for removal in the source PDF.
hindi,केबल कनवर्टर,केबल कनवर्टर,Explicitly listed for removal in the source PDF.
hindi,कोविड,कोविड,Explicitly listed for removal in the source PDF.
hindi,क्या हमारे पास एक मिनट हो सकता है,क्या हमारे पास एक मिनट हो सकता है,Explicitly listed for removal in the source PDF.
hindi,खरीदना,खरीदना,Explicitly listed for removal in the source PDF.
hindi,खुला,खुला,Explicitly listed for removal in the source PDF.
hindi,घूमने की जगह,घूमने की जगह,Explicitly listed for removal in the source PDF.
hindi,चौंकना,चौंकना,Explicitly listed for removal in the source PDF.
hindi,जीत,जीत,Explicitly listed for removal in the source PDF.
hindi,टिप्पणी,टिप्पणी,Explicitly listed for removal in the source PDF.
hindi,तेज,तेज,Explicitly listed for removal in the source PDF.
hindi,नमस्ते,नमस्ते,Explicitly listed for removal in the source PDF.
hindi,पर देखा,पर देखा,Explicitly listed for removal in the source PDF.
hindi,पराजय,पराजय,Explicitly listed for removal in the source PDF.
hindi,पहुँच,पहुँच,Explicitly listed for removal in the source PDF.
hindi,पहुंच,पहुंच,Explicitly listed for removal in the source PDF.
hindi,पुकारना,पुकारना,Explicitly listed for removal in the source PDF.
hindi,प्रतियोगिता,प्रतियोगिता,Explicitly listed for removal in the source PDF.
hindi,प्रतियोगिताएं,प्रतियोगिताएं,Explicitly listed for removal in the source PDF.
hindi,प्रदर्शन,प्रदर्शन,Explicitly listed for removal in the source PDF.
hindi,प्रमाणित,प्रमाणित,Explicitly listed for removal in the source PDF.
hindi,प्रसिद्ध व्यक्ति,प्रसिद्ध व्यक्ति,Explicitly listed for removal in the source PDF.
hindi,प्रिय मित्र,प्रिय मित्र,Explicitly listed for removal in the source PDF.
hindi,बधाई हो,बधाई हो,Explicitly listed for removal in the source PDF.
hindi,बापू,बापू,Explicitly listed for removal in the source PDF.
hindi,बिल,बिल,Explicitly listed for removal in the source PDF.
hindi,बीमार,बीमार,Explicitly listed for removal in the source PDF.
hindi,बीमारी,बीमारी,Explicitly listed for removal in the source PDF.
hindi,ब्लॉग,ब्लॉग,Explicitly listed for removal in the source PDF.
hindi,महान,महान,Explicitly listed for removal in the source PDF.
hindi,महान प्रस्ताव,महान प्रस्ताव,Explicitly listed for removal in the source PDF.
hindi,मुझ पर विश्वास करो,मुझ पर विश्वास करो,Explicitly listed for removal in the source PDF.
hindi,मुझसे पूछो कैसे,मुझसे पूछो कैसे,Explicitly listed for removal in the source PDF.
hindi,राशि,राशि,Explicitly listed for removal in the source PDF.
hindi,वापस पीछा करो,वापस पीछा करो,Explicitly listed for removal in the source PDF.
hindi,विजेता,विजेता,Explicitly listed for removal in the source PDF.
hindi,वित्त,वित्त,Explicitly listed for removal in the source PDF.
hindi,वित्तीय,वित्तीय,Explicitly listed for removal in the source PDF.
hindi,शुक्रवार से पहले,शुक्रवार से पहले,Explicitly listed for removal in the source PDF.
hindi,श्रेय,श्रेय,Explicitly listed for removal in the source PDF.
hindi,संकेत,संकेत,Explicitly listed for removal in the source PDF.
hindi,सप्ताह के दिन,सप्ताह के दिन,Explicitly listed for removal in the source PDF.
hindi,सफलता,सफलता,Explicitly listed for removal in the source PDF.
hindi,सबसे अच्छा प्रस्ताव,सबसे अच्छा प्रस्ताव,Explicitly listed for removal in the source PDF.
hindi,सभी प्राकृतिक,सभी प्राकृतिक,Explicitly listed for removal in the source PDF.
hindi,सही ढंग से कॉपी करें,सही ढंग से कॉपी करें,Explicitly listed for removal in the source PDF.
hindi,साल का सबसे ज्यादा बिकने वाला उत्पाद,साल का सबसे ज्यादा बिकने वाला उत्पाद,Explicitly listed for removal in the source PDF.
hindi,सीडी पर पते,सीडी पर पते,Explicitly listed for removal in the source PDF.
hindi,सेल फोन कैंसर घोटाला,सेल फोन कैंसर घोटाला,Explicitly listed for removal in the source PDF.
hindi,सेलफोन कैंसर घोटाला,सेलफोन कैंसर घोटाला,Explicitly listed for removal in the source PDF.
