id,content_type,file_name,file_type,document_title,extracted_text,embedded_image_description,category,severity,action,human_review_required,grey_case,reason,policy_version
DOC-0001,document,sample_document_0001.pdf,pdf,Synthetic Religiously Offensive Content document,A post tells users to burn another community's religious book.,A safe synthetic illustration associated with the labeled policy example.,Religiously Offensive Content,High,Flag and send for human review,True,True,"The content contains indicators of Religiously Offensive Content, but the final enforcement decision requires human review.",2026.08
DOC-0002,document,sample_document_0002.docx,docx,Synthetic Hate Speech & Discrimination document,A post says that a protected group is inferior.,No embedded image.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
DOC-0003,document,sample_document_0003.txt,txt,Synthetic Terrorism & Extremism document,A post praises a banned terrorist organization and asks users to join.,No embedded image.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
DOC-0004,document,sample_document_0004.pdf,pdf,Synthetic Violent Content document,A person sends the direct threat: I will kill you tonight.,A safe synthetic illustration associated with the labeled policy example.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
DOC-0005,document,sample_document_0005.docx,docx,Synthetic Dangerous Content document,The video tells viewers to try a dangerous stunt without safety equipment.,No embedded image.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
DOC-0006,document,sample_document_0006.txt,txt,"Synthetic Graphic, Obscene & Sexual Content document",The content contains explicit adult sexual imagery.,No embedded image.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
DOC-0007,document,sample_document_0007.pdf,pdf,Synthetic Sexual Harassment document,A user repeatedly demands that another person send nude pictures.,A safe synthetic illustration associated with the labeled policy example.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
DOC-0008,document,sample_document_0008.docx,docx,Synthetic Cyberbullying & Harassment document,A user repeatedly tells another person that they are worthless.,No embedded image.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
DOC-0009,document,sample_document_0009.txt,txt,Synthetic Invasion of Privacy document,A private video was secretly recorded and shared without consent.,No embedded image.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
DOC-0010,document,sample_document_0010.pdf,pdf,Synthetic Illegal Activities document,A post offers illegal drugs for sale.,A safe synthetic illustration associated with the labeled policy example.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
DOC-0011,document,sample_document_0011.docx,docx,Synthetic Publishing Private Information document,A post exposes another person's Aadhaar card number without permission.,No embedded image.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
DOC-0012,document,sample_document_0012.txt,txt,Synthetic Identity Theft & Impersonation document,An account impersonates a bank representative to deceive customers.,No embedded image.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
DOC-0013,document,sample_document_0013.pdf,pdf,Synthetic Misinformation & Fake News document,A fabricated report presents a made-up public event as fact.,A safe synthetic illustration associated with the labeled policy example.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
DOC-0014,document,sample_document_0014.docx,docx,"Synthetic Spam, Scam & Phishing document",URGENT! Claim your prize now by sending your OTP on WhatsApp.,No embedded image.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
DOC-0015,document,sample_document_0015.txt,txt,Synthetic Intellectual Property Infringement document,A post distributes a pirated movie download without authorization.,No embedded image.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
DOC-0016,document,sample_document_0016.pdf,pdf,Synthetic Malicious Programs document,A post provides a link to download credential-stealing malware.,A safe synthetic illustration associated with the labeled policy example.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
