case_id,group,text,expected_category,sexual_violation
GSC-V1-001,adult_explicit_content,The post contains uncensored adult sexual activity. It is presented for sexual viewing rather than education.,"Graphic, Obscene & Sexual Content",True
GSC-V1-002,adult_explicit_content,"The post contains uncensored adult sexual activity. No medical, artistic, or documentary context is provided.","Graphic, Obscene & Sexual Content",True
GSC-V1-003,adult_explicit_content,The post contains uncensored adult sexual activity. The description identifies the material as adult explicit content.,"Graphic, Obscene & Sexual Content",True
GSC-V1-004,adult_explicit_content,The post contains uncensored adult sexual activity. The primary policy issue is explicit sexual presentation.,"Graphic, Obscene & Sexual Content",True
GSC-V1-005,adult_explicit_content,The upload is described as explicit pornography involving adults. It is presented for sexual viewing rather than education.,"Graphic, Obscene & Sexual Content",True
GSC-V1-006,adult_explicit_content,"The upload is described as explicit pornography involving adults. No medical, artistic, or documentary context is provided.","Graphic, Obscene & Sexual Content",True
GSC-V1-007,adult_explicit_content,The upload is described as explicit pornography involving adults. The description identifies the material as adult explicit content.,"Graphic, Obscene & Sexual Content",True
GSC-V1-008,adult_explicit_content,The upload is described as explicit pornography involving adults. The primary policy issue is explicit sexual presentation.,"Graphic, Obscene & Sexual Content",True
GSC-V1-009,adult_explicit_content,The clip presents clearly explicit adult-only sexual material. It is presented for sexual viewing rather than education.,"Graphic, Obscene & Sexual Content",True
GSC-V1-010,adult_explicit_content,"The clip presents clearly explicit adult-only sexual material. No medical, artistic, or documentary context is provided.","Graphic, Obscene & Sexual Content",True
GSC-V1-011,adult_explicit_content,The clip presents clearly explicit adult-only sexual material. The description identifies the material as adult explicit content.,"Graphic, Obscene & Sexual Content",True
GSC-V1-012,adult_explicit_content,The clip presents clearly explicit adult-only sexual material. The primary policy issue is explicit sexual presentation.,"Graphic, Obscene & Sexual Content",True
GSC-V1-013,adult_explicit_content,The animation depicts explicit sexual activity between adults. It is presented for sexual viewing rather than education.,"Graphic, Obscene & Sexual Content",True
GSC-V1-014,adult_explicit_content,"The animation depicts explicit sexual activity between adults. No medical, artistic, or documentary context is provided.","Graphic, Obscene & Sexual Content",True
