category,default_severity,default_action,human_review_required,moderation_conditions,allow_conditions,review_conditions,notes,policy_version
Religiously Offensive Content,High,Remove and send for human review,True,"Religious names, symbols, emblems, books, flags, statues, or buildings are morphed, destroyed, damaged, mutilated, mocked, or desecrated. | Gods, religious deities, prophets, figureheads, reincarnations, or religious leaders are abused or described using denigrating language.","Neutral educational, historical, documentary, or news discussion that does not attack a religion or its followers. | Good-faith criticism of ideas that does not demean people because of their religion.","Satire, artistic expression, or disputed religious context where intent is unclear.",,2026.08
Hate Speech & Discrimination,High,Remove and escalate,True,"Unsubstantiated, inflammatory, fear-mongering, instigating, excessively provoking, or demeaning claims target a person or group based on religion, caste, nationality, ethnicity, or another protected characteristic. | Content calls to destroy, exclude, block, boycott, terminate, or harm a protected person or group. | Dehumanizing or discriminatory language is directed at a protected person or group.","Counterspeech, reporting, education, or condemnation that quotes hateful language without endorsing it.","Quoted, reclaimed, satirical, or ambiguous language where endorsement is uncertain.",,2026.08
Terrorism & Extremism,Critical,Block and escalate,True,"Content supports, praises, glorifies, recruits for, or provides operational assistance to a banned terrorist or extremist organization. | Content distributes links, propaganda, instructions, or resources intended to support a banned organization.","Neutral news reporting, academic analysis, historical discussion, or condemnation without praise or assistance.","Organization identity or legal status is uncertain. | Content references an organization listed by the Ministry of Home Affairs, Government of India.",The banned-organization list must be maintained separately and reviewed regularly.,2026.08
Violent Content,High,Block or apply a sensitive-content warning,True,"Content depicts mutilation, torture, decapitation, beating, or bodily harm involving a human or animal. | Content depicts scattered, splattered, deformed, burned, or bloated blood, organs, body parts, heads, brains, bones, flesh, or eyes. | The violent depiction may be real, artificial, animated, or digitally generated.",Violent imagery is sufficiently blurred and no graphic details remain visible. | Non-graphic reporting or discussion of violence may be allowed with an appropriate warning.,"Graphic severity, documentary value, or degree of blurring is uncertain.",,2026.08
Dangerous Content,High,Remove and send for human review,True,"Content encourages or demonstrates dangerous stunts, experiments, or actions not performed under appropriate professional controls. | Content depicts or encourages actual bodily harm to oneself or another person. | Content asks others to perform actions likely to cause injury, death, or destruction of property.","Professional, educational, or safety demonstrations with clear precautions and no encouragement to imitate.",Professional supervision or the likelihood of imitation cannot be determined.,,2026.08
"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,"Visible genitalia, anus, or female nipples are presented outside an allowed context. | Sexual intercourse or sexual activity is simulated, implied, enacted, animated, morphed, or real. | Sexual objects or sex toys are shown or used sexually. | Sexual content involves animals. | Content depicts sexual violence, rape, simulated rape, or non-consensual sexual acts. | Content contains morphed sexual imagery or promotes the sale or viewing of explicit sexual material.","Recognized artwork, sculpture, or other established artistic material. | Non-adult-rated film posters without explicit sexual detail. | Medical, health, educational, or sexual-health material with a clear legitimate purpose. | Educational or health material clearly identifies the responsible organization.","Age, consent, educational purpose, artistic context, or degree of explicitness is uncertain.",,2026.08
Sexual Harassment,High,Remove and escalate,True,"A person is subjected to unwanted requests or demands for sexual favors. | A person receives unwanted pornography, sexually explicit messages, or sexually colored remarks. | Content contains other unwelcome conduct that is sexual in nature.",,"Consent, relationship, or whether the conduct is welcome cannot be determined.",,2026.08
Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,"A person is repeatedly targeted with derogatory comments, images, intimidation, or humiliation. | A person is repeatedly pressured to provide a phone number, send a private message, or continue unwanted contact. | Content coordinates or encourages harassment of an individual.",Good-faith disagreement or criticism that does not include targeted abuse or repeated unwanted contact.,A repeated pattern or the target's objection cannot be confirmed.,Apply the policy consistently regardless of the target's gender.,2026.08
Invasion of Privacy,High,Restrict and send for human review,True,"Images, audio, or video show private or intimate moments without the consent of a person depicted. | A depicted person credibly alleges that private material was recorded or distributed without consent.","All depicted adults consented to recording and distribution, and no other privacy violation is present.",Identity and consent must be authenticated before permanent removal when practical.,,2026.08
Illegal Activities,High,Restrict and send for human review,True,"Indian national emblems or protected names are used improperly. | Content sells or promotes unapproved medicines, drugs, health products, psychotropic substances, or remedies. | Content facilitates prohibited gambling, prostitution, sexual services, or the sale of guns or weapons. | Content meaningfully facilitates another illegal transaction or activity.","News, documentary, educational, or prevention content that does not facilitate an illegal activity.","Legality, jurisdiction, or whether the content facilitates an offense is uncertain.",Do not automatically determine legal liability; uncertain cases require qualified human review.,2026.08
Publishing Private Information,High,Remove exposed information and send for human review,True,"Content exposes Aadhaar, PAN, voter, driving-license, or other identity-document data. | Content exposes personal email addresses, phone numbers, credit or debit cards, bank passbooks, or account statements without permission. | A personal phone number or email address is exposed in a publicly visible comment and reported by the affected user.","Contact details are intentionally published for a genuine and lawful commercial service. | Information is fictional, redacted, or clearly presented as a safe example.","Ownership, consent, or whether the information is genuinely public cannot be determined.","Never place complete sensitive identifiers in logs, previews, RAG documents, or review data.",2026.08
Identity Theft & Impersonation,High,Flag and send for human review,True,"Content impersonates another person or organization to deceive users. | Content uses another person's identity, credentials, or likeness fraudulently.",,Identity ownership or parody status must be verified.,,2026.08
Misinformation & Fake News,Medium,Flag and send for human review,True,Content presents a materially false or misleading factual claim as true. | Manipulated or fabricated content is used to mislead people about a factual matter.,"Satire, opinion, correction, or clearly labeled fiction that is unlikely to mislead. | Content accurately corrects a previously circulated false claim.","The truth of the claim cannot be established automatically. | The claim concerns health, public safety, elections, or another high-impact topic.",,2026.08
"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,"An unsolicited message or comment has no meaningful connection to the surrounding content. | Content requests money transfers, donations, OTPs, passwords, banking credentials, or other authentication data. | Content promotes multi-level marketing, network marketing, get-rich-quick schemes, or deceptive investment offers. | Content promotes suspicious pornography, dating, travel, hotel, shopping, or extreme discount offers. | Content contains meaningless gibberish, random numbers, repetition, deceptive links, or manufactured urgency. | Multiple multilingual spam signals occur together with promotional, financial, link, contact, or urgency indicators.","A legitimate transactional, commercial, charity, or service message is expected and does not request sensitive data. | A single dictionary term appears in an ordinary, non-promotional context.","The message may be legitimate but identity, consent, or offer authenticity cannot be verified.","Spam dictionary matches are weighted supporting evidence, not automatic proof of spam. | Terms in the spam exclusion list must contribute no spam score.",2026.08
Intellectual Property Infringement,Medium,Flag and send for human review,True,"Content appears to distribute or reproduce protected material without authorization. | Content appears to misuse a trademark, copyrighted work, or other protected intellectual property.","Authorized use, public-domain material, licensed use, or legitimate quotation and commentary.","Ownership, authorization, fair dealing, or legal status must be assessed by a qualified reviewer.",,2026.08
Malicious Programs,Critical,Block and send for security review,True,"Content distributes, promotes, or provides access to malware, ransomware, credential theft, or other malicious software. | Content provides operational instructions intended to compromise devices, accounts, or networks.",Defensive security education that does not provide harmful payloads or facilitate abuse.,Code intent or security context cannot be determined safely.,,2026.08
Abusive Words,Medium,Remove or limit distribution,False,"Swear words, abusive terms, or denigrating language are directed at a person. | Abusive words are intentionally obfuscated using misspellings, numbers, symbols, or special characters.","Non-targeted quotation, education, reporting, or self-referential language without harassment.","Meaning, target, quotation, or linguistic context is unclear.",,2026.08
Child Exploitation,Critical,Block and immediately escalate,True,"Content sexually exploits, sexualizes, solicits, grooms, or endangers a child. | Content depicts or encourages physical abuse, beating, or harm involving a child. | Content requests secrecy, private contact, sexual material, or an unsafe meeting with a child.","Child-safety education, prevention, reporting, or support material that contains no exploitative media and does not facilitate abuse.","Age, intent, relationship, or risk to a child is uncertain.","Never store, reproduce, or display suspected child sexual abuse material. | Store only a minimal safe text description required for authorized escalation.",2026.08
Normal/Ignore,None,Allow,False,"Content is safe, generic, ordinary, or does not meet the conditions of another category. | Available evidence is too weak to justify a restrictive automated decision.","Ordinary conversation, educational material, personal content, lawful advertising, or other benign content.",,,2026.08
