record_id,group,text,expected_category,existing_category,existing_action,existing_review
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-001,controlled_goods_current_transactions,A current marketplace listing has illegal drugs for sale and asks buyers to contact the seller. RC2 case 1.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-002,controlled_goods_current_transactions,A current marketplace listing has controlled substances for sale and asks buyers to contact the seller. RC2 case 2.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-003,controlled_goods_current_transactions,A current marketplace listing has controlled pills for sale and asks buyers to contact the seller. RC2 case 3.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-004,controlled_goods_current_transactions,A current marketplace listing has unapproved medicine for sale and asks buyers to contact the seller. RC2 case 4.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-005,controlled_goods_current_transactions,A current marketplace listing has prohibited narcotics for sale and asks buyers to contact the seller. RC2 case 5.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-006,controlled_goods_current_transactions,The supplier offers illegal drugs; courier delivery is available after payment. RC2 case 6.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-007,controlled_goods_current_transactions,The supplier offers controlled substances; courier delivery is available after payment. RC2 case 7.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-008,controlled_goods_current_transactions,The supplier offers controlled pills; courier delivery is available after payment. RC2 case 8.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-009,controlled_goods_current_transactions,The supplier offers unapproved medicine; courier delivery is available after payment. RC2 case 9.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-010,controlled_goods_current_transactions,The supplier offers prohibited narcotics; courier delivery is available after payment. RC2 case 10.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-011,controlled_goods_current_transactions,This post advertises illegal drugs and tells customers to place an order. RC2 case 11.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-012,controlled_goods_current_transactions,This post advertises controlled substances and tells customers to place an order. RC2 case 12.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-013,controlled_goods_current_transactions,This post advertises controlled pills and tells customers to place an order. RC2 case 13.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-014,controlled_goods_current_transactions,This post advertises unapproved medicine and tells customers to place an order. RC2 case 14.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-015,controlled_goods_current_transactions,This post advertises prohibited narcotics and tells customers to place an order. RC2 case 15.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-016,controlled_goods_current_transactions,An account markets illegal drugs with a price per item and shipment available. RC2 case 16.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-017,controlled_goods_current_transactions,An account markets controlled substances with a price per item and shipment available. RC2 case 17.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-018,controlled_goods_current_transactions,An account markets controlled pills with a price per item and shipment available. RC2 case 18.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-019,controlled_goods_current_transactions,An account markets unapproved medicine with a price per item and shipment available. RC2 case 19.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-020,controlled_goods_current_transactions,An account markets prohibited narcotics with a price per item and shipment available. RC2 case 20.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-021,controlled_goods_current_transactions,A seller offers illegal drugs; buyers should direct message to order. RC2 case 21.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-022,controlled_goods_current_transactions,A seller offers controlled substances; buyers should direct message to order. RC2 case 22.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-023,controlled_goods_current_transactions,A seller offers controlled pills; buyers should direct message to order. RC2 case 23.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-024,controlled_goods_current_transactions,A seller offers unapproved medicine; buyers should direct message to order. RC2 case 24.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-025,controlled_goods_current_transactions,A seller offers prohibited narcotics; buyers should direct message to order. RC2 case 25.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-026,controlled_goods_current_transactions,The current offer makes illegal drugs available to buyers. RC2 case 26.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-027,controlled_goods_current_transactions,The current offer makes controlled substances available to buyers. RC2 case 27.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-028,controlled_goods_current_transactions,The current offer makes controlled pills available to buyers. RC2 case 28.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-029,controlled_goods_current_transactions,The current offer makes unapproved medicine available to buyers. RC2 case 29.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-030,controlled_goods_current_transactions,The current offer makes prohibited narcotics available to buyers. RC2 case 30.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-031,controlled_goods_current_transactions,A commercial listing promotes the sale of illegal drugs with delivery available. RC2 case 31.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-032,controlled_goods_current_transactions,A commercial listing promotes the sale of controlled substances with delivery available. RC2 case 32.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-033,controlled_goods_current_transactions,A commercial listing promotes the sale of controlled pills with delivery available. RC2 case 33.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-034,controlled_goods_current_transactions,A commercial listing promotes the sale of unapproved medicine with delivery available. RC2 case 34.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-035,controlled_goods_current_transactions,A commercial listing promotes the sale of prohibited narcotics with delivery available. RC2 case 35.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-036,controlled_goods_current_transactions,The supplier says illegal drugs are selling now and payment is required. RC2 case 36.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-037,controlled_goods_current_transactions,The supplier says controlled substances are selling now and payment is required. RC2 case 37.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-038,controlled_goods_current_transactions,The supplier says controlled pills are selling now and payment is required. RC2 case 38.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-039,controlled_goods_current_transactions,The supplier says unapproved medicine are selling now and payment is required. RC2 case 39.,Illegal Activities,Normal/Ignore,Allow,False
CONTROLLED_GOODS_CURRENT_TRANSACTIONS-040,controlled_goods_current_transactions,The supplier says prohibited narcotics are selling now and payment is required. RC2 case 40.,Illegal Activities,Normal/Ignore,Allow,False
WEAPONS_DOCUMENTS_AND_COUNTERFEIT_TRANSACTIONS-001,weapons_documents_and_counterfeit_transactions,The marketplace lists an unlicensed firearm for sale and requests a direct message. RC2 case 1.,Illegal Activities,Normal/Ignore,Allow,False
WEAPONS_DOCUMENTS_AND_COUNTERFEIT_TRANSACTIONS-002,weapons_documents_and_counterfeit_transactions,The marketplace lists a prohibited weapon for sale and requests a direct message. RC2 case 2.,Illegal Activities,Normal/Ignore,Allow,False
WEAPONS_DOCUMENTS_AND_COUNTERFEIT_TRANSACTIONS-003,weapons_documents_and_counterfeit_transactions,The marketplace lists a forged passport for sale and requests a direct message. RC2 case 3.,Illegal Activities,Normal/Ignore,Allow,False
WEAPONS_DOCUMENTS_AND_COUNTERFEIT_TRANSACTIONS-004,weapons_documents_and_counterfeit_transactions,The marketplace lists a fake identity document for sale and requests a direct message. RC2 case 4.,Illegal Activities,Normal/Ignore,Allow,False
WEAPONS_DOCUMENTS_AND_COUNTERFEIT_TRANSACTIONS-005,weapons_documents_and_counterfeit_transactions,The marketplace lists counterfeit currency for sale and requests a direct message. RC2 case 5.,Illegal Activities,Normal/Ignore,Allow,False
WEAPONS_DOCUMENTS_AND_COUNTERFEIT_TRANSACTIONS-006,weapons_documents_and_counterfeit_transactions,A seller offers an unlicensed firearm; courier delivery is available. RC2 case 6.,Illegal Activities,Normal/Ignore,Allow,False
WEAPONS_DOCUMENTS_AND_COUNTERFEIT_TRANSACTIONS-007,weapons_documents_and_counterfeit_transactions,A seller offers a prohibited weapon; courier delivery is available. RC2 case 7.,Illegal Activities,Normal/Ignore,Allow,False
WEAPONS_DOCUMENTS_AND_COUNTERFEIT_TRANSACTIONS-008,weapons_documents_and_counterfeit_transactions,A seller offers a forged passport; courier delivery is available. RC2 case 8.,Illegal Activities,Normal/Ignore,Allow,False
WEAPONS_DOCUMENTS_AND_COUNTERFEIT_TRANSACTIONS-009,weapons_documents_and_counterfeit_transactions,A seller offers a fake identity document; courier delivery is available. RC2 case 9.,Illegal Activities,Normal/Ignore,Allow,False
WEAPONS_DOCUMENTS_AND_COUNTERFEIT_TRANSACTIONS-010,weapons_documents_and_counterfeit_transactions,A seller offers counterfeit currency; courier delivery is available. RC2 case 10.,Illegal Activities,Normal/Ignore,Allow,False
WEAPONS_DOCUMENTS_AND_COUNTERFEIT_TRANSACTIONS-011,weapons_documents_and_counterfeit_transactions,This listing advertises an unlicensed firearm with a price per item. RC2 case 11.,Illegal Activities,Normal/Ignore,Allow,False
WEAPONS_DOCUMENTS_AND_COUNTERFEIT_TRANSACTIONS-012,weapons_documents_and_counterfeit_transactions,This listing advertises a prohibited weapon with a price per item. RC2 case 12.,Illegal Activities,Normal/Ignore,Allow,False
WEAPONS_DOCUMENTS_AND_COUNTERFEIT_TRANSACTIONS-013,weapons_documents_and_counterfeit_transactions,This listing advertises a forged passport with a price per item. RC2 case 13.,Illegal Activities,Normal/Ignore,Allow,False
WEAPONS_DOCUMENTS_AND_COUNTERFEIT_TRANSACTIONS-014,weapons_documents_and_counterfeit_transactions,This listing advertises a fake identity document with a price per item. RC2 case 14.,Illegal Activities,Normal/Ignore,Allow,False
WEAPONS_DOCUMENTS_AND_COUNTERFEIT_TRANSACTIONS-015,weapons_documents_and_counterfeit_transactions,This listing advertises counterfeit currency with a price per item. RC2 case 15.,Illegal Activities,Normal/Ignore,Allow,False
WEAPONS_DOCUMENTS_AND_COUNTERFEIT_TRANSACTIONS-016,weapons_documents_and_counterfeit_transactions,The supplier markets an unlicensed firearm and asks customers to place an order. RC2 case 16.,Illegal Activities,Normal/Ignore,Allow,False
