record_id,group,text,expected_category,existing_category,existing_action,existing_review
HIDDEN_CAMERA_PRIVATE_SPACE-001,hidden_camera_private_space,This user placed a hidden camera in a bedroom and recorded a resident without consent; case 1.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-002,hidden_camera_private_space,Evidence indicates a concealed camera inside a private home filmed a tenant without permission; case 2.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-003,hidden_camera_private_space,A credible allegation says an employee was secretly recorded in a changing room without consent; case 3.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-004,hidden_camera_private_space,This recording used a covert camera in a hotel room against the wishes of a guest; case 4.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-005,hidden_camera_private_space,This user placed a hidden camera in a bedroom and recorded a resident without consent; case 5.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-006,hidden_camera_private_space,Evidence indicates a concealed camera inside a private home filmed a tenant without permission; case 6.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-007,hidden_camera_private_space,A credible allegation says an employee was secretly recorded in a changing room without consent; case 7.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-008,hidden_camera_private_space,This recording used a covert camera in a hotel room against the wishes of a guest; case 8.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-009,hidden_camera_private_space,This user placed a hidden camera in a bedroom and recorded a resident without consent; case 9.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-010,hidden_camera_private_space,Evidence indicates a concealed camera inside a private home filmed a tenant without permission; case 10.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-011,hidden_camera_private_space,A credible allegation says an employee was secretly recorded in a changing room without consent; case 11.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-012,hidden_camera_private_space,This recording used a covert camera in a hotel room against the wishes of a guest; case 12.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-013,hidden_camera_private_space,This user placed a hidden camera in a bedroom and recorded a resident without consent; case 13.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-014,hidden_camera_private_space,Evidence indicates a concealed camera inside a private home filmed a tenant without permission; case 14.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-015,hidden_camera_private_space,A credible allegation says an employee was secretly recorded in a changing room without consent; case 15.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-016,hidden_camera_private_space,This recording used a covert camera in a hotel room against the wishes of a guest; case 16.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-017,hidden_camera_private_space,This user placed a hidden camera in a bedroom and recorded a resident without consent; case 17.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-018,hidden_camera_private_space,Evidence indicates a concealed camera inside a private home filmed a tenant without permission; case 18.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-019,hidden_camera_private_space,A credible allegation says an employee was secretly recorded in a changing room without consent; case 19.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-020,hidden_camera_private_space,This recording used a covert camera in a hotel room against the wishes of a guest; case 20.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-021,hidden_camera_private_space,This user placed a hidden camera in a bedroom and recorded a resident without consent; case 21.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-022,hidden_camera_private_space,Evidence indicates a concealed camera inside a private home filmed a tenant without permission; case 22.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-023,hidden_camera_private_space,A credible allegation says an employee was secretly recorded in a changing room without consent; case 23.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-024,hidden_camera_private_space,This recording used a covert camera in a hotel room against the wishes of a guest; case 24.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-025,hidden_camera_private_space,This user placed a hidden camera in a bedroom and recorded a resident without consent; case 25.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-026,hidden_camera_private_space,Evidence indicates a concealed camera inside a private home filmed a tenant without permission; case 26.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-027,hidden_camera_private_space,A credible allegation says an employee was secretly recorded in a changing room without consent; case 27.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-028,hidden_camera_private_space,This recording used a covert camera in a hotel room against the wishes of a guest; case 28.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-029,hidden_camera_private_space,This user placed a hidden camera in a bedroom and recorded a resident without consent; case 29.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-030,hidden_camera_private_space,Evidence indicates a concealed camera inside a private home filmed a tenant without permission; case 30.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-031,hidden_camera_private_space,A credible allegation says an employee was secretly recorded in a changing room without consent; case 31.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-032,hidden_camera_private_space,This recording used a covert camera in a hotel room against the wishes of a guest; case 32.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-033,hidden_camera_private_space,This user placed a hidden camera in a bedroom and recorded a resident without consent; case 33.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-034,hidden_camera_private_space,Evidence indicates a concealed camera inside a private home filmed a tenant without permission; case 34.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-035,hidden_camera_private_space,A credible allegation says an employee was secretly recorded in a changing room without consent; case 35.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-036,hidden_camera_private_space,This recording used a covert camera in a hotel room against the wishes of a guest; case 36.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-037,hidden_camera_private_space,This user placed a hidden camera in a bedroom and recorded a resident without consent; case 37.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-038,hidden_camera_private_space,Evidence indicates a concealed camera inside a private home filmed a tenant without permission; case 38.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-039,hidden_camera_private_space,A credible allegation says an employee was secretly recorded in a changing room without consent; case 39.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-040,hidden_camera_private_space,This recording used a covert camera in a hotel room against the wishes of a guest; case 40.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-041,hidden_camera_private_space,This user placed a hidden camera in a bedroom and recorded a resident without consent; case 41.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-042,hidden_camera_private_space,Evidence indicates a concealed camera inside a private home filmed a tenant without permission; case 42.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-043,hidden_camera_private_space,A credible allegation says an employee was secretly recorded in a changing room without consent; case 43.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-044,hidden_camera_private_space,This recording used a covert camera in a hotel room against the wishes of a guest; case 44.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-045,hidden_camera_private_space,This user placed a hidden camera in a bedroom and recorded a resident without consent; case 45.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-046,hidden_camera_private_space,Evidence indicates a concealed camera inside a private home filmed a tenant without permission; case 46.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-047,hidden_camera_private_space,A credible allegation says an employee was secretly recorded in a changing room without consent; case 47.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-048,hidden_camera_private_space,This recording used a covert camera in a hotel room against the wishes of a guest; case 48.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-049,hidden_camera_private_space,This user placed a hidden camera in a bedroom and recorded a resident without consent; case 49.,Invasion of Privacy,Normal/Ignore,Allow,False
HIDDEN_CAMERA_PRIVATE_SPACE-050,hidden_camera_private_space,Evidence indicates a concealed camera inside a private home filmed a tenant without permission; case 50.,Invasion of Privacy,Normal/Ignore,Allow,False
PRIVATE_AUDIO_AND_EAVESDROPPING-001,private_audio_and_eavesdropping,This user used a covert microphone to record a private conversation without consent from a resident; case 1.,Invasion of Privacy,Normal/Ignore,Allow,False
PRIVATE_AUDIO_AND_EAVESDROPPING-002,private_audio_and_eavesdropping,Evidence indicates a secret audio recording inside a private office without permission from a tenant; case 2.,Invasion of Privacy,Normal/Ignore,Allow,False
PRIVATE_AUDIO_AND_EAVESDROPPING-003,private_audio_and_eavesdropping,A credible report says the account eavesdrops behind a closed door without consent from an employee; case 3.,Invasion of Privacy,Normal/Ignore,Allow,False
PRIVATE_AUDIO_AND_EAVESDROPPING-004,private_audio_and_eavesdropping,This recording wiretaps a private conversation and a guest did not agree; case 4.,Invasion of Privacy,Normal/Ignore,Allow,False
PRIVATE_AUDIO_AND_EAVESDROPPING-005,private_audio_and_eavesdropping,This user used a covert microphone to record a private conversation without consent from a resident; case 5.,Invasion of Privacy,Normal/Ignore,Allow,False
